date,sheet,item,verdict,note
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",functional,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",ultra,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",gop,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",ep,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",chronic,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",wa,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",aka,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",kyle,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",protective,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",est,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",entertaining,verb,verb or verb form; the noun sense is incidental
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",matching,verb,verb or verb form; the noun sense is incidental
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",colin,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",beneficial,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",underneath,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",transform,verb,verb or verb form; the noun sense is incidental
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",shitty,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",thee,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",til,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",tribal,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",heck,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",mega,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",continental,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",caroline,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",legit,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",nato,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",travis,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",bo,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",proving,verb,verb or verb form; the noun sense is incidental
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",resistant,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",upload,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",remix,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",goddamn,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",olds,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",sensible,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",gameplay,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",cyber,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",compatible,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",hardcore,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",polar,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",barack,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",viable,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",kane,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",ing,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",medicare,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",wifi,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",jun,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",und,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",marco,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",joey,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",betty,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",admin,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",yu,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",honda,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",exotic,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",renewable,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",transgender,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",mins,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",cuz,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",resting,verb,verb or verb form; the noun sense is incidental
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",hon,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",fu,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",headphones,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",lil,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",maya,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",mia,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",underway,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",parenting,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",problematic,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",mon,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",midfielder,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",covid,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",lethal,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",abs,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",ot,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",dee,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",wendy,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",cardiac,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",diagnostic,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",ge,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",anglo,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",wu,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",fundraising,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",reproductive,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",northwestern,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",gt,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",rehab,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",dom,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",splitting,verb,verb or verb form; the noun sense is incidental
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",parental,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",collaborative,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",quo,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",photoshop,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",allergic,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",analytics,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",kai,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",ou,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",drowning,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",prix,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",username,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",dunno,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",minecraft,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",tina,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",alison,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",selfie,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",lib,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",omar,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",screenshot,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",turbo,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",einstein,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",lionel,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",ak,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",ko,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",stoke,verb,verb or verb form; the noun sense is incidental
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",grammy,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",gloria,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",gi,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",steals,verb,verb or verb form; the noun sense is incidental
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",auburn,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",bleed,verb,verb or verb form; the noun sense is incidental
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",ish,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",blogging,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",tri,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",abnormal,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",ned,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",fest,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",eco,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",brock,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",val,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",vera,name,"name, brand or place; not a common noun"
