word,verdict,definition,suggest_instead,marks,note
ndugu,noun,"A brother or comrade, in Swahili-influenced East African usage.",,,
necessaritarian,noun,A person who holds the doctrine that all events are causally determined.,,,
necessaritarianism,noun,The doctrine that every event is causally determined and could not be otherwise.,,,
neurocele,noun,The cavity enclosed by the neural tube in a developing embryo.,,,
newfie,noun,A native or inhabitant of Newfoundland.,,possible name,informal; can read as pejorative
norland,noun,A northern land or region.,,,
oleomargarin,variant,,oleomargarine,,
palais,noun,A public dance hall.,,,
palikar,noun,A Greek irregular soldier of the war of independence against the Ottomans.,,,
partan,noun,"An edible crab, in Scots usage.",,,
pasteurism,noun,Treatment or prevention of disease by Pasteur's method of inoculation.,,possible name,
pekinese,variant,,pekingese,,
pekingese,noun,A small long-haired dog of a breed with a flat face and short legs.,,possible name,
pensee,noun,A thought or reflection set down in aphoristic form.,,,
perinephrium,noun,The connective tissue and fat surrounding the kidney.,,,
pignus,noun,"A pledge or pawn given as security for a debt, in Roman law.",,,
pinwork,noun,Fine decorative stitching worked into the mesh of needlepoint lace.,,,
pithecanthropus,name,,,,obsolete taxonomic genus for early hominids
plasmagel,noun,The stiff gel-like outer cytoplasm of an amoeboid cell.,,,
plasmasol,noun,The fluid inner cytoplasm of an amoeboid cell.,,,
plasmosome,noun,"A true nucleolus, as distinguished from other nuclear bodies.",,,
pneumodynamics,noun,The branch of physics dealing with the motion of gases.,,,
powerdown,noun,"A reduction in power output, or the shutting down of a system.",,,
preconcession,noun,A concession granted in advance of negotiation.,,,
preenlistment,noun,The period or process preceding enlistment in the armed forces.,,,
procarp,noun,The female reproductive structure of a red alga.,,,
prothalmia,noise,,,,apparent misspelling of prothalamia
prothalmion,noise,,,,apparent misspelling of prothalamion
prothalmium,noise,,,,apparent misspelling of prothalamium
pyrophotometer,noun,An instrument that measures high temperatures from the radiation emitted.,,,
quai,noun,"A quay, especially one along a river in France.",,,
regisseur,noun,The director of a stage production or ballet company.,,,
repousse,noun,Metalwork hammered into relief from the reverse side.,,,
rontgen,variant,,roentgen,,
sayyid,noun,An honorific title for a male descendant of the prophet Muhammad.,,,
schizomycete,noun,"A bacterium, under an obsolete classification treating bacteria as fungi.",,,
scientologist,noun,An adherent of Scientology.,,possible name,
scripturist,noun,A person deeply versed in the scriptures.,,,
seicento,noun,The seventeenth century as a period of Italian art and literature.,,,
semioticism,noise,,,,nonce formation; no dictionary sense
setsquare,noun,A flat triangular instrument for drawing lines at fixed angles.,,,
sevak,noun,"A servant or volunteer worker, in Indian English.",,,
sevika,noun,"A female servant or volunteer worker, in Indian English.",,,
sher,noise,,,,no settled English noun sense
shoran,noun,A short-range radio system for navigation and position finding.,,,
signorino,noun,"A young Italian gentleman, used as a form of address.",,,
skolly,noun,"A young hoodlum, in South African usage.",,,
soave,noun,A dry white wine from the Veneto region of Italy.,,possible name,
splore,noun,"A frolic or boisterous merrymaking, in Scots usage.",,,
sri,noun,An Indian honorific placed before a man's name.,,possible name,
stor,noise,,,,no attested English noun sense
streetboard,noun,A three-wheeled board steered by twisting its two hinged platforms.,,,
streetboarding,noun,The sport of riding a streetboard.,,,
subnote,noun,A subordinate note appended to a main one.,,,
sulfatize,verb,,,,verb; converting a substance into a sulfate
surprizal,variant,,surprisal,,
synaposematism,noun,Shared warning coloration among unpalatable species; Mullerian mimicry.,,,
tanh,noise,,,,notation for the hyperbolic tangent function
tattersail,variant,,tattersall,,
teleran,noun,An air navigation system combining radar with television transmission to the pilot.,,,
therme,variant,,therm,,
thermomotor,noun,"An engine driven by heat, especially by hot air.",,,
tolan,noun,"A crystalline hydrocarbon, diphenylacetylene.",,,
torah,noun,"The body of Jewish law and teaching, especially the Pentateuch.",,possible name,
tyreo,noise,,,,no attested English noun sense
unguentum,noun,"An ointment, under its pharmaceutical Latin name.",,,
verite,noun,A style of film-making aiming at unstaged realism.,,,
veter,noise,,,,no attested English noun sense
viscum,name,,,,taxonomic genus of mistletoe
