variant,canonical,verdict,note
min,minute,unrelated,not a spelling pair
ghost,ghostwriter,unrelated,not a spelling pair
sheet,shit,unrelated,not a spelling pair
desert,dessert,unrelated,not a spelling pair
crap,craps,unrelated,"craps is the dice game, not a plural"
pot,potbelly,unrelated,not a spelling pair
bye,boy,unrelated,not a spelling pair
mo,moment,unrelated,not a spelling pair
pope,pop,unrelated,not a spelling pair
mill,mil,unrelated,not a spelling pair
spin,spinnaker,unrelated,not a spelling pair
behaviour,behavior,variant,the variant column is the nonstandard spelling
doc,doctorate,unrelated,not a spelling pair
rep,reputation,unrelated,not a spelling pair
terrorist,tourist,unrelated,not a spelling pair
principle,principal,unrelated,not a spelling pair
bang,bhang,unrelated,not a spelling pair
sec,second,unrelated,not a spelling pair
favour,favor,variant,the variant column is the nonstandard spelling
sauce,source,unrelated,not a spelling pair
bat,baht,unrelated,not a spelling pair
bow,bough,unrelated,not a spelling pair
drag,dragon,unrelated,not a spelling pair
dialogue,dialog,reverse,dialogue is standard everywhere; dialog is the computing/US clipping
dec,decrement,unrelated,not a spelling pair
tale,tael,unrelated,not a spelling pair
slip,sideslip,unrelated,not a spelling pair
corps,corpse,unrelated,not a spelling pair
weed,duckweed,unrelated,not a spelling pair
exam,examination,unrelated,not a spelling pair
lover,louver,unrelated,not a spelling pair
alpha,alphabet,unrelated,not a spelling pair
habit,growth,unrelated,not a spelling pair
terrorism,tourism,unrelated,not a spelling pair
pat,patent,unrelated,not a spelling pair
marshall,marshal,variant,the variant column is the nonstandard spelling
pub,publication,unrelated,not a spelling pair
shed,woodshed,unrelated,not a spelling pair
skip,skipper,unrelated,not a spelling pair
hr,hour,unrelated,not a spelling pair
wrap,rap,unrelated,not a spelling pair
dose,doze,unrelated,not a spelling pair
lit,literature,unrelated,not a spelling pair
mar,mere,unrelated,not a spelling pair
humor,humour,reverse,the canonical column is the nonstandard spelling
bacteria,bacterium,unrelated,not a spelling pair
ram,rambo,unrelated,not a spelling pair
cole,coal,unrelated,not a spelling pair
lap,laparoscopy,unrelated,not a spelling pair
jam,jamb,unrelated,not a spelling pair
rat,muskrat,unrelated,not a spelling pair
chuck,woodchuck,unrelated,not a spelling pair
par,paragraph,unrelated,not a spelling pair
soup,sup,unrelated,not a spelling pair
lip,lipstick,unrelated,not a spelling pair
ham,home,unrelated,not a spelling pair
prof,professor,unrelated,not a spelling pair
rev,revolution,unrelated,not a spelling pair
jewelry,jewellery,reverse,the canonical column is the nonstandard spelling
canon,cannon,unrelated,not a spelling pair
neighbor,neighbour,reverse,the canonical column is the nonstandard spelling
freeze,frieze,unrelated,not a spelling pair
warner,warrener,unrelated,not a spelling pair
fig,figure,unrelated,not a spelling pair
ally,alley,unrelated,not a spelling pair
cliff,clef,unrelated,not a spelling pair
skull,school,unrelated,not a spelling pair
meter,metre,reverse,the canonical column is the nonstandard spelling
freak,fuck,unrelated,not a spelling pair
burger,burgher,unrelated,not a spelling pair
cheer,chair,unrelated,not a spelling pair
chile,chili,variant,the variant column is the nonstandard spelling
doll,dal,unrelated,not a spelling pair
cos,coz,unrelated,not a spelling pair
dot,dotty,unrelated,not a spelling pair
hart,heart,unrelated,not a spelling pair
blonde,blond,variant,the variant column is the nonstandard spelling
marc,mark,unrelated,not a spelling pair
eager,eagre,reverse,the canonical column is the nonstandard spelling
cannon,canon,unrelated,not a spelling pair
tire,tyre,reverse,the canonical column is the nonstandard spelling
seller,cellar,unrelated,not a spelling pair
pad,keypad,unrelated,not a spelling pair
den,denier,unrelated,not a spelling pair
buck,buckshot,unrelated,not a spelling pair
flour,flower,unrelated,not a spelling pair
dash,dashboard,unrelated,not a spelling pair
feat,feature,unrelated,not a spelling pair
cluster,clusterfuck,unrelated,not a spelling pair
harbour,harbor,variant,the variant column is the nonstandard spelling
cord,chord,unrelated,not a spelling pair
gig,gigabyte,unrelated,not a spelling pair
autism,autumn,unrelated,not a spelling pair
manga,mango,unrelated,not a spelling pair
curry,quarry,unrelated,not a spelling pair
canvas,canvass,unrelated,cloth vs soliciting; different words
melt,milt,unrelated,not a spelling pair
col,column,unrelated,not a spelling pair
ref,referee,unrelated,not a spelling pair
critic,critique,unrelated,not a spelling pair
chi,chihuahua,unrelated,not a spelling pair
neighbourhood,neighborhood,variant,the variant column is the nonstandard spelling
motive,motif,unrelated,not a spelling pair
prep,preposition,unrelated,not a spelling pair
lb,pound,unrelated,not a spelling pair
coloured,colored,variant,the variant column is the nonstandard spelling
heroin,heroine,unrelated,not a spelling pair
crane,cran,unrelated,not a spelling pair
catalog,catalogue,reverse,the canonical column is the nonstandard spelling
compliment,complement,unrelated,not a spelling pair
mod,modification,unrelated,not a spelling pair
sack,sac,unrelated,not a spelling pair
champ,champion,unrelated,not a spelling pair
rack,arak,unrelated,not a spelling pair
ng,newsgroup,unrelated,not a spelling pair
ana,anna,unrelated,not a spelling pair
ki,key,unrelated,not a spelling pair
villain,villein,unrelated,not a spelling pair
dug,dog,unrelated,not a spelling pair
judgement,judgment,variant,the variant column is the nonstandard spelling
coral,corral,unrelated,not a spelling pair
fatigue,fatigues,plural,"one side is a plural of the other, not a spelling variant"
dough,doughboy,unrelated,not a spelling pair
bra,bro,unrelated,not a spelling pair
para,paragraph,unrelated,not a spelling pair
builder,bodybuilder,unrelated,not a spelling pair
proposition,preposition,unrelated,not a spelling pair
grill,girl,unrelated,not a spelling pair
mat,material,unrelated,not a spelling pair
ml,millilitre,unrelated,not a spelling pair
critique,critic,unrelated,not a spelling pair
isle,aisle,unrelated,not a spelling pair
calif,caliph,variant,the variant column is the nonstandard spelling
dye,die,unrelated,not a spelling pair
mic,mike,reverse,mic is the modern standard spelling of the microphone sense
promo,promotion,unrelated,not a spelling pair
gal,gallon,unrelated,not a spelling pair
lid,eyelid,unrelated,not a spelling pair
ribbon,ribband,unrelated,not a spelling pair
vent,ventilation,unrelated,not a spelling pair
madame,madam,variant,the variant column is the nonstandard spelling
lin,linn,variant,the variant column is the nonstandard spelling
peel,peal,unrelated,not a spelling pair
amp,ampere,unrelated,not a spelling pair
yr,year,unrelated,not a spelling pair
pitcher,picture,unrelated,not a spelling pair
stab,establishment,unrelated,not a spelling pair
drawer,drawers,plural,"one side is a plural of the other, not a spelling variant"
tenant,tenet,unrelated,not a spelling pair
somerset,somersault,variant,the variant column is the nonstandard spelling
disco,discotheque,unrelated,not a spelling pair
prop,propellant,unrelated,not a spelling pair
literal,littoral,unrelated,not a spelling pair
foil,hydrofoil,unrelated,not a spelling pair
temp,temperature,unrelated,not a spelling pair
maths,mathematics,unrelated,not a spelling pair
armour,armor,variant,the variant column is the nonstandard spelling
tray,trey,unrelated,not a spelling pair
congo,congou,variant,the variant column is the nonstandard spelling
stud,student,unrelated,not a spelling pair
boxer,boxers,plural,"one side is a plural of the other, not a spelling variant"
mil,milliliter,unrelated,not a spelling pair
flavour,flavor,variant,the variant column is the nonstandard spelling
stoke,stokes,plural,"one side is a plural of the other, not a spelling variant"
dis,diss,variant,dis is the shorter spelling of diss
retro,retrorocket,unrelated,not a spelling pair
mayo,mayonnaise,unrelated,not a spelling pair
mag,magazine,unrelated,not a spelling pair
pod,podcast,unrelated,not a spelling pair
beck,beak,unrelated,not a spelling pair
slack,slacks,plural,"one side is a plural of the other, not a spelling variant"
hooker,hookah,unrelated,not a spelling pair
macro,macroeconomics,unrelated,not a spelling pair
tore,torus,variant,the variant column is the nonstandard spelling
peek,pique,unrelated,not a spelling pair
grape,grapeshot,unrelated,not a spelling pair
quad,quadruplet,unrelated,not a spelling pair
sol,solidarity,unrelated,not a spelling pair
brent,brant,variant,the variant column is the nonstandard spelling
piper,pepper,unrelated,not a spelling pair
pike,turnpike,unrelated,not a spelling pair
tails,tailcoat,unrelated,not a spelling pair
scarf,scurf,unrelated,not a spelling pair
var,variable,unrelated,not a spelling pair
salvage,savage,unrelated,not a spelling pair
kin,qin,unrelated,not a spelling pair
helm,haulm,unrelated,not a spelling pair
sonny,address,unrelated,not a spelling pair
cocoa,coco,unrelated,not a spelling pair
cozy,cosy,reverse,the canonical column is the nonstandard spelling
kat,khat,unrelated,not a spelling pair
dread,dreadlock,unrelated,not a spelling pair
rite,right,unrelated,not a spelling pair
sis,sister,unrelated,not a spelling pair
gee,grand,unrelated,not a spelling pair
whisky,whiskey,variant,the variant column is the nonstandard spelling
nigga,nigger,variant,the variant column is the nonstandard spelling
condo,condominium,unrelated,not a spelling pair
cache,cachet,unrelated,not a spelling pair
mantle,mantel,unrelated,not a spelling pair
savannah,savanna,variant,the variant column is the nonstandard spelling
fuse,fuze,unrelated,not a spelling pair
chap,chop,unrelated,not a spelling pair
homo,homosexual,unrelated,not a spelling pair
spectacle,spectacles,plural,"one side is a plural of the other, not a spelling variant"
stint,stent,unrelated,not a spelling pair
crank,crankshaft,unrelated,not a spelling pair
mare,mayor,unrelated,not a spelling pair
grad,graduate,unrelated,not a spelling pair
ordinance,ordnance,unrelated,not a spelling pair
repost,riposte,unrelated,not a spelling pair
spec,specification,unrelated,not a spelling pair
booty,bootee,unrelated,not a spelling pair
tang,tongue,unrelated,not a spelling pair
dorm,dormitory,unrelated,not a spelling pair
traveler,traveller,reverse,the canonical column is the nonstandard spelling
bun,bunny,unrelated,not a spelling pair
cory,corey,unrelated,not a spelling pair
pun,bun,unrelated,not a spelling pair
meg,megabyte,unrelated,not a spelling pair
kc,kilocycle,unrelated,not a spelling pair
specs,spectacles,unrelated,not a spelling pair
heroine,heroin,unrelated,not a spelling pair
comb,combination,unrelated,not a spelling pair
stool,stole,unrelated,not a spelling pair
chilly,chili,variant,the variant column is the nonstandard spelling
litre,litter,unrelated,not a spelling pair
moth,mote,unrelated,not a spelling pair
fella,fellow,variant,the variant column is the nonstandard spelling
loot,lieutenant,unrelated,not a spelling pair
wen,wynn,unrelated,not a spelling pair
nan,naan,unrelated,not a spelling pair
paw,pa,unrelated,not a spelling pair
lama,llama,unrelated,not a spelling pair
envoy,envoi,unrelated,not a spelling pair
ox,oxygen,unrelated,not a spelling pair
char,cha,unrelated,not a spelling pair
dialog,dialogue,variant,dialogue is standard everywhere
liter,litre,reverse,the canonical column is the nonstandard spelling
swat,swot,unrelated,not a spelling pair
sham,champagne,unrelated,not a spelling pair
mould,mold,variant,the variant column is the nonstandard spelling
endeavour,endeavor,variant,the variant column is the nonstandard spelling
pong,pung,unrelated,not a spelling pair
fulfillment,fulfilment,reverse,the canonical column is the nonstandard spelling
saloon,salon,unrelated,not a spelling pair
psyche,psychology,unrelated,not a spelling pair
medic,medick,unrelated,not a spelling pair
enquiry,inquiry,variant,the variant column is the nonstandard spelling
momma,mama,variant,the variant column is the nonstandard spelling
deco,decoration,unrelated,not a spelling pair
mustache,moustache,reverse,the canonical column is the nonstandard spelling
jacks,jakes,unrelated,not a spelling pair
amir,emir,variant,the variant column is the nonstandard spelling
tumour,tumor,variant,the variant column is the nonstandard spelling
eta,ita,unrelated,not a spelling pair
otter,attar,unrelated,not a spelling pair
burr,bur,unrelated,not a spelling pair
obi,obeah,unrelated,not a spelling pair
mina,myna,variant,the variant column is the nonstandard spelling
bog,bug,unrelated,not a spelling pair
ax,axe,reverse,the canonical column is the nonstandard spelling
slew,slough,unrelated,not a spelling pair
mane,man,unrelated,not a spelling pair
limo,limousine,unrelated,not a spelling pair
dole,dhole,unrelated,not a spelling pair
mamma,mama,unrelated,not a spelling pair
eq,equation,unrelated,not a spelling pair
counsellor,counselor,variant,the variant column is the nonstandard spelling
fro,afro,unrelated,not a spelling pair
melon,mellon,unrelated,not a spelling pair
acknowledgement,acknowledgment,variant,the variant column is the nonstandard spelling
crease,kris,unrelated,not a spelling pair
lac,lakh,unrelated,not a spelling pair
donut,doughnut,variant,the variant column is the nonstandard spelling
raja,rajah,variant,the variant column is the nonstandard spelling
qi,chi,unrelated,both are standard in their own right
chilli,chili,variant,the variant column is the nonstandard spelling
tau,taw,unrelated,not a spelling pair
vantage,advantage,unrelated,not a spelling pair
analogue,analog,variant,the variant column is the nonstandard spelling
midget,midge,unrelated,not a spelling pair
polio,poliomyelitis,unrelated,not a spelling pair
bane,bone,unrelated,not a spelling pair
fitch,vetch,unrelated,not a spelling pair
groin,groyne,unrelated,not a spelling pair
prod,production,unrelated,not a spelling pair
hoe,ho,unrelated,not a spelling pair
leach,leech,unrelated,not a spelling pair
sens,sensitivity,unrelated,not a spelling pair
jargon,jargoon,unrelated,not a spelling pair
tester,testiere,unrelated,not a spelling pair
lair,layer,unrelated,not a spelling pair
hoard,horde,unrelated,not a spelling pair
watercolor,watercolour,reverse,the canonical column is the nonstandard spelling
valor,valour,reverse,the canonical column is the nonstandard spelling
clegg,cleg,variant,the variant column is the nonstandard spelling
gage,gauge,unrelated,not a spelling pair
armory,armoury,reverse,the canonical column is the nonstandard spelling
choral,chorale,variant,the variant column is the nonstandard spelling
flake,fake,unrelated,not a spelling pair
tic,ticket,unrelated,not a spelling pair
calibre,caliber,variant,the variant column is the nonstandard spelling
tramp,trampoline,unrelated,not a spelling pair
plow,plough,reverse,the canonical column is the nonstandard spelling
clutter,clowder,unrelated,not a spelling pair
realisation,realization,variant,the variant column is the nonstandard spelling
salah,salat,variant,the variant column is the nonstandard spelling
staunch,stanch,reverse,the canonical column is the nonstandard spelling
drier,dryer,variant,the variant column is the nonstandard spelling
kilometer,kilometre,reverse,the canonical column is the nonstandard spelling
cayman,caiman,variant,the variant column is the nonstandard spelling
sulphur,sulfur,variant,the variant column is the nonstandard spelling
nag,knack,unrelated,not a spelling pair
castor,caster,unrelated,not a spelling pair
saber,sabre,reverse,the canonical column is the nonstandard spelling
mol,mole,variant,the variant column is the nonstandard spelling
camo,camouflage,unrelated,not a spelling pair
aunty,auntie,variant,the variant column is the nonstandard spelling
kern,quern,unrelated,not a spelling pair
lager,laager,unrelated,not a spelling pair
pct,percent,unrelated,not a spelling pair
masse,mass,variant,the variant column is the nonstandard spelling
ply,plywood,unrelated,not a spelling pair
gent,gentamicin,unrelated,not a spelling pair
speciality,specialty,variant,the variant column is the nonstandard spelling
parlour,parlor,variant,the variant column is the nonstandard spelling
chime,chine,unrelated,not a spelling pair
louvre,louver,variant,the variant column is the nonstandard spelling
tung,tongue,variant,the variant column is the nonstandard spelling
lat,latitude,unrelated,not a spelling pair
preventative,preventive,variant,the variant column is the nonstandard spelling
kilo,kilogram,unrelated,not a spelling pair
wiz,whiz,unrelated,not a spelling pair
millimeter,millimetre,reverse,the canonical column is the nonstandard spelling
hippo,hippopotamus,unrelated,not a spelling pair
pallet,palette,unrelated,not a spelling pair
revel,reveal,unrelated,not a spelling pair
organiser,organizer,variant,the variant column is the nonstandard spelling
dahl,dal,variant,the variant column is the nonstandard spelling
lister,leister,variant,the variant column is the nonstandard spelling
counterpoint,counterpane,unrelated,not a spelling pair
plat,platform,unrelated,not a spelling pair
grille,grill,variant,the variant column is the nonstandard spelling
sheik,sheikh,variant,the variant column is the nonstandard spelling
dork,dirk,unrelated,not a spelling pair
burrow,barrow,unrelated,not a spelling pair
privatisation,privatization,variant,the variant column is the nonstandard spelling
tort,tortoise,unrelated,not a spelling pair
mow,mew,unrelated,not a spelling pair
clit,clitoris,unrelated,not a spelling pair
macintosh,mackintosh,variant,the variant column is the nonstandard spelling
centerpiece,centrepiece,reverse,the canonical column is the nonstandard spelling
skunk,skunkweed,unrelated,not a spelling pair
yoke,yolk,unrelated,not a spelling pair
pane,peen,unrelated,not a spelling pair
plough,snowplough,unrelated,not a spelling pair
tact,tactic,unrelated,not a spelling pair
medallist,medalist,variant,the variant column is the nonstandard spelling
marge,margarine,unrelated,not a spelling pair
rigor,rigour,reverse,the canonical column is the nonstandard spelling
fuzz,fuss,unrelated,not a spelling pair
minion,minium,unrelated,not a spelling pair
fiberglass,fibreglass,variant,the variant column is the nonstandard spelling
kos,coss,variant,the variant column is the nonstandard spelling
cob,cobnut,unrelated,not a spelling pair
toon,town,unrelated,not a spelling pair
authorisation,authorization,variant,the variant column is the nonstandard spelling
manoeuvre,maneuver,variant,the variant column is the nonstandard spelling
puss,pus,unrelated,a cat vs the discharge; unrelated
vigor,vigour,reverse,the canonical column is the nonstandard spelling
vapour,vapor,variant,the variant column is the nonstandard spelling
diarrhoea,diarrhea,variant,the variant column is the nonstandard spelling
tranquility,tranquillity,reverse,the canonical column is the nonstandard spelling
yoghurt,yogurt,variant,the variant column is the nonstandard spelling
gangsta,gangster,variant,the variant column is the nonstandard spelling
hippy,hippie,variant,the variant column is the nonstandard spelling
doggie,doggy,variant,the variant column is the nonstandard spelling
czar,tsar,variant,the variant column is the nonstandard spelling
looney,loony,variant,the variant column is the nonstandard spelling
loon,balloon,unrelated,not a spelling pair
calvary,cavalry,unrelated,not a spelling pair
lira,lyra,unrelated,not a spelling pair
grandad,granddad,variant,the variant column is the nonstandard spelling
cask,casque,unrelated,not a spelling pair
ley,lea,unrelated,not a spelling pair
savor,savour,reverse,the canonical column is the nonstandard spelling
tarp,tarpaulin,unrelated,not a spelling pair
baritone,barytone,unrelated,not a spelling pair
modernisation,modernization,variant,the variant column is the nonstandard spelling
doge,doggy,unrelated,not a spelling pair
lustre,luster,variant,the variant column is the nonstandard spelling
caddy,caddie,unrelated,not a spelling pair
naught,nought,unrelated,not a spelling pair
luster,lusterware,unrelated,not a spelling pair
vac,vacation,unrelated,not a spelling pair
perky,percy,unrelated,perky is an adjective; percy is a name
llama,lama,unrelated,not a spelling pair
flack,flak,unrelated,not a spelling pair
chimp,chimpanzee,unrelated,not a spelling pair
honk,honky,unrelated,not a spelling pair
adage,adagio,unrelated,not a spelling pair
scepticism,skepticism,variant,the variant column is the nonstandard spelling
dickie,dicky,variant,the variant column is the nonstandard spelling
ambience,ambiance,variant,the variant column is the nonstandard spelling
dram,drachm,unrelated,not a spelling pair
anaesthetic,anesthetic,variant,the variant column is the nonstandard spelling
pall,pawl,unrelated,not a spelling pair
flier,flyer,variant,the variant column is the nonstandard spelling
plumb,plum,unrelated,not a spelling pair
argyll,argyle,variant,the variant column is the nonstandard spelling
bogey,bogie,unrelated,not a spelling pair
mem,memory,unrelated,not a spelling pair
bannister,banister,variant,the variant column is the nonstandard spelling
esophagus,oesophagus,reverse,the canonical column is the nonstandard spelling
nance,nancy,unrelated,"both slang/name, not a spelling pair"
guerilla,guerrilla,variant,the variant column is the nonstandard spelling
valence,valance,unrelated,not a spelling pair
epicenter,epicentre,reverse,the canonical column is the nonstandard spelling
dag,dog,unrelated,not a spelling pair
characterisation,characterization,variant,the variant column is the nonstandard spelling
dickey,dicky,variant,the variant column is the nonstandard spelling
centimeter,centimetre,reverse,the canonical column is the nonstandard spelling
putty,puttee,unrelated,not a spelling pair
reorganisation,reorganization,variant,the variant column is the nonstandard spelling
imposter,impostor,variant,the variant column is the nonstandard spelling
dishonor,dishonour,reverse,the canonical column is the nonstandard spelling
prawn,porn,unrelated,not a spelling pair
lx,linguistics,unrelated,not a spelling pair
gopher,gofer,unrelated,not a spelling pair
fertiliser,fertilizer,variant,the variant column is the nonstandard spelling
pinkie,pinky,unrelated,not a spelling pair
equaliser,equalizer,variant,the variant column is the nonstandard spelling
geezer,geyser,unrelated,not a spelling pair
dike,dyke,reverse,the canonical column is the nonstandard spelling
paedophile,pedophile,variant,the variant column is the nonstandard spelling
pollack,pollock,variant,the variant column is the nonstandard spelling
hakeem,hakim,variant,the variant column is the nonstandard spelling
gaol,jail,variant,the variant column is the nonstandard spelling
holler,hollow,unrelated,not a spelling pair
hock,hawk,unrelated,not a spelling pair
buss,bus,unrelated,a kiss vs the vehicle; unrelated
tux,tuxedo,unrelated,not a spelling pair
enquirer,inquirer,variant,the variant column is the nonstandard spelling
juke,jukebox,unrelated,not a spelling pair
nim,neem,unrelated,not a spelling pair
gat,khat,unrelated,not a spelling pair
halter,haltere,unrelated,not a spelling pair
gripe,grip,unrelated,not a spelling pair
burg,burger,unrelated,not a spelling pair
daemon,demon,variant,the variant column is the nonstandard spelling
canvass,canvas,unrelated,cloth vs soliciting; different words
encyclopaedia,encyclopedia,variant,the variant column is the nonstandard spelling
savoury,savory,variant,the variant column is the nonstandard spelling
brahman,brahmin,variant,the variant column is the nonstandard spelling
girdle,griddle,unrelated,not a spelling pair
haji,hajji,variant,the variant column is the nonstandard spelling
crick,creek,unrelated,not a spelling pair
cypher,cipher,variant,the variant column is the nonstandard spelling
hearse,hearst,unrelated,not a spelling pair
filet,fillet,variant,the variant column is the nonstandard spelling
amphitheater,amphitheatre,reverse,the canonical column is the nonstandard spelling
lido,lidocaine,unrelated,not a spelling pair
wether,weather,unrelated,not a spelling pair
mediaeval,medieval,variant,the variant column is the nonstandard spelling
foetus,fetus,variant,the variant column is the nonstandard spelling
kor,cor,variant,the variant column is the nonstandard spelling
pamper,pampers,plural,"one side is a plural of the other, not a spelling variant"
favoritism,favouritism,reverse,the canonical column is the nonstandard spelling
archeology,archaeology,reverse,the canonical column is the nonstandard spelling
lino,linoleum,unrelated,not a spelling pair
neb,nebulizer,unrelated,not a spelling pair
posit,position,unrelated,not a spelling pair
leukaemia,leukemia,variant,the variant column is the nonstandard spelling
ruck,roc,unrelated,not a spelling pair
guile,gold,unrelated,not a spelling pair
loin,lion,unrelated,not a spelling pair
bur,burr,unrelated,not a spelling pair
homey,homie,variant,the variant column is the nonstandard spelling
fervour,fervor,variant,the variant column is the nonstandard spelling
signor,signore,variant,the variant column is the nonstandard spelling
pix,pyx,unrelated,not a spelling pair
twit,twitter,unrelated,not a spelling pair
soya,soy,variant,the variant column is the nonstandard spelling
aether,ether,variant,the variant column is the nonstandard spelling
haemorrhage,hemorrhage,variant,the variant column is the nonstandard spelling
woollen,woolen,variant,the variant column is the nonstandard spelling
feller,fellow,unrelated,not a spelling pair
adaption,adaptation,variant,the variant column is the nonstandard spelling
optimisation,optimization,variant,the variant column is the nonstandard spelling
bennie,benny,variant,the variant column is the nonstandard spelling
cay,quay,unrelated,not a spelling pair
pretence,pretense,variant,the variant column is the nonstandard spelling
scepter,sceptre,reverse,the canonical column is the nonstandard spelling
boarder,skateboarder,unrelated,not a spelling pair
lye,lie,unrelated,not a spelling pair
mettle,metal,unrelated,not a spelling pair
faerie,fairy,variant,the variant column is the nonstandard spelling
colonisation,colonization,variant,the variant column is the nonstandard spelling
roan,rowan,unrelated,not a spelling pair
anaesthesia,anesthesia,variant,the variant column is the nonstandard spelling
faeces,feces,variant,the variant column is the nonstandard spelling
jak,jack,variant,the variant column is the nonstandard spelling
barbeque,barbecue,variant,the variant column is the nonstandard spelling
racquet,racket,variant,the variant column is the nonstandard spelling
industrialisation,industrialization,variant,the variant column is the nonstandard spelling
croquet,croquette,unrelated,not a spelling pair
dateline,deadline,unrelated,not a spelling pair
despatch,dispatch,variant,the variant column is the nonstandard spelling
leger,ledger,unrelated,not a spelling pair
phoney,phony,variant,the variant column is the nonstandard spelling
stabilisation,stabilization,variant,the variant column is the nonstandard spelling
dominos,dominoes,unrelated,not a spelling pair
orang,orangutan,unrelated,not a spelling pair
ochre,okra,unrelated,not a spelling pair
liberalisation,liberalization,variant,the variant column is the nonstandard spelling
ellipse,ellipsis,unrelated,not a spelling pair
rigour,rigor,variant,the variant column is the nonstandard spelling
roomy,roomie,variant,the variant column is the nonstandard spelling
marten,martin,unrelated,not a spelling pair
