noun,zipf,tier,senses,lexfile,register,domain,in_wn30,also_proper_noun,recommended,excluded_because,definition
doomed,3.77,FAMILIAR,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,people who are destined to die soon
eighty,3.75,FAMILIAR,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,the cardinal number that is the product of ten and eight
supplying,3.75,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the activity of supplying or providing something
chased,3.74,FAMILIAR,1,noun.person,GENERAL,,True,False,False,not in Wiktionary,a person who is being chased
retarded,3.73,FAMILIAR,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,people collectively who are mentally retarded
sherlock,3.73,FAMILIAR,1,noun.person,GENERAL,,True,False,False,not in Wiktionary,someone who can be employed as a detective to collect information and assist in criminal investigations
installing,3.71,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of installing something (as equipment)
ninety,3.71,FAMILIAR,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,the cardinal number that is the product of ten and nine
urging,3.68,FAMILIAR,3,noun.communication,GENERAL,,True,False,False,not in Wiktionary,a verbalization that encourages you to attempt something
frightening,3.67,FAMILIAR,1,noun.act,SPECIAL,terrorism,True,False,False,not in Wiktionary,the act of inspiring with fear
nineteen,3.59,FAMILIAR,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,the cardinal number that is the sum of eighteen and one
informing,3.58,FAMILIAR,2,noun.communication,GENERAL,,True,False,False,not in Wiktionary,to furnish incriminating evidence to an officer of the law (usually in return for favors)
needy,3.58,FAMILIAR,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,needy people collectively
insisting,3.55,FAMILIAR,1,noun.communication,GENERAL,,True,False,False,not in Wiktionary,continual and persistent demands
regulating,3.55,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of controlling or directing according to rule
depicting,3.54,FAMILIAR,1,noun.cognition,GENERAL,,True,False,False,not in Wiktionary,a representation by picture or portraiture
executing,3.54,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,putting a condemned person to death
jonah,3.53,FAMILIAR,1,noun.person,GENERAL,,True,True,False,not in Wiktionary,a person believed to bring bad luck to those around them
honoring,3.52,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,conformity with law or custom or practice etc.
integrating,3.52,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the action of incorporating a racial or religious group into a community
waterloo,3.52,FAMILIAR,1,noun.event,GENERAL,,True,True,False,not in Wiktionary,a final crushing defeat
anterior,3.51,FAMILIAR,1,noun.body,MED,,True,False,False,not in Wiktionary,a tooth situated at the front of the mouth
inducing,3.48,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,act of bringing about a desired result
appalling,3.46,FAMILIAR,1,noun.event,GENERAL,,True,False,False,not in Wiktionary,an experience that appalls
composing,3.44,FAMILIAR,2,noun.attribute,GENERAL,,True,False,False,not in Wiktionary,the spatial property resulting from the arrangement of parts in relation to each other and to the whole
exporting,3.43,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the commercial activity of selling and shipping goods to a foreign country
importing,3.43,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the commercial activity of buying and bringing in goods from a foreign country
locating,3.43,FAMILIAR,2,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of putting something in a certain place
bartlett,3.39,FAMILIAR,1,noun.food,GENERAL,,True,True,False,not in Wiktionary,juicy yellow pear
mei,3.39,FAMILIAR,1,noun.plant,BIO,,True,False,False,not in Wiktionary,Japanese ornamental tree with fragrant white or pink blossoms and small yellow fruits
retreated,3.38,FAMILIAR,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,people who have retreated
vending,3.37,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of selling goods for a living
baffled,3.36,FAMILIAR,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,people who are frustrated and perplexed
emphasizing,3.36,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of giving special importance or significance to something
approving,3.34,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the formal act of approving
motivating,3.34,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of motivating; providing incentive
portraying,3.33,FAMILIAR,1,noun.cognition,GENERAL,,True,False,False,not in Wiktionary,a representation by picture or portraiture
supervising,3.32,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,management by overseeing the performance or operation of a person or group
assigning,3.28,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of distributing something to designated places or persons
lm,3.27,FAMILIAR,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,a unit of luminous flux equal to the amount of light given out through a solid angle of 1 steradian by a point source of 1 candela intensity radiating uniformly in all directions
vanishing,3.27,FAMILIAR,2,noun.event,GENERAL,,True,False,False,not in Wiktionary,a sudden or mysterious disappearance
activating,3.26,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the activity of causing to have energy and be active
kosher,3.26,FAMILIAR,1,noun.food,GENERAL,,True,False,False,not in Wiktionary,food that fulfills the requirements of Jewish dietary law
ahem,3.25,FAMILIAR,1,noun.communication,GENERAL,,True,False,False,not in Wiktionary,"the utterance of a sound similar to clearing the throat; intended to get attention, express hesitancy, fill a pause, hide embarrassment, warn a friend, etc."
timid,3.25,FAMILIAR,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,people who are fearful and cautious
kneel,3.24,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,supporting yourself on your knees
marseille,3.24,FAMILIAR,1,noun.artifact,GENERAL,,True,True,False,not in Wiktionary,strong cotton fabric with a raised pattern; used for bedspreads
peeing,3.24,FAMILIAR,1,noun.process,MED,sexual activity;body waste,True,False,False,not in Wiktionary,informal terms for urination
hg,3.23,FAMILIAR,1,noun.quantity,GENERAL,,True,True,False,not in Wiktionary,100 grams
leaping,3.23,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,"a light, self-propelled movement upwards or forwards"
anatomical,3.21,FAMILIAR,1,noun.communication,GENERAL,,True,False,False,not in Wiktionary,an expression that relates to anatomy
laguna,3.21,FAMILIAR,1,noun.object,GENERAL,,True,False,False,not in Wiktionary,a body of water cut off from a larger body by a reef of sand or coral
pave,3.21,FAMILIAR,1,noun.artifact,GENERAL,,True,False,False,not in Wiktionary,a setting with precious stones so closely set that no metal shows
dg,3.2,FAMILIAR,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,1/10 gram
britt,3.18,FAMILIAR,2,noun.animal,BIO,,True,False,False,not in Wiktionary,the young of a herring or sprat or similar fish
conveying,3.18,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,act of transferring property title from one person to another
revising,3.18,FAMILIAR,1,noun.communication,GENERAL,,True,False,False,not in Wiktionary,editing that involves writing something again
hl,3.16,FAMILIAR,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,a metric unit of volume or capacity equal to 100 liters
halal,3.15,FAMILIAR,1,noun.food,SPECIAL,Islam,True,False,False,not in Wiktionary,(Islam) meat from animals that have been slaughtered in the prescribed way according to the shariah
officiating,3.15,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of umpiring
conceding,3.14,FAMILIAR,1,noun.communication,GENERAL,,True,False,False,not in Wiktionary,the act of conceding or yielding
nada,3.14,FAMILIAR,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,"a quantity of no importance; thing (object:), singular, negative pronoun; pronoun, thing, singular; quantifier: negative existential"
indulging,3.11,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of indulging or gratifying a desire
substituting,3.03,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,working as a substitute for someone who is ill or on leave of absence
diagnosing,3.02,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,identifying the nature or cause of some phenomenon
leveraging,3.02,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,investing with borrowed money as a way to amplify potential gains (at the risk of greater losses)
lohan,3.01,FAMILIAR,1,noun.person,GENERAL,,True,False,False,not in Wiktionary,one who has achieved a state of perfect enlightenment
spiegel,3.01,FAMILIAR,1,noun.substance,GENERAL,,True,False,False,not in Wiktionary,pig iron containing manganese; used as a deoxidizing agent and to raise the manganese content in making steel
nestle,2.99,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,a close and affectionate (and often prolonged) embrace
ramona,2.99,UNCOMMON,1,noun.plant,BIO,,True,False,False,not in Wiktionary,shrubby plant with aromatic greyish-green leaves used as a cooking herb
alerting,2.98,UNCOMMON,2,noun.state,GENERAL,,True,False,False,not in Wiktionary,a state of readiness to respond
cul,2.97,UNCOMMON,1,noun.artifact,GENERAL,,True,False,False,not in Wiktionary,a passage with access only at one end
siamese,2.97,UNCOMMON,1,noun.artifact,GENERAL,,True,True,False,not in Wiktionary,an inlet with two or more couplings to which a hose can be attached so that fire engines can pump water into the sprinkler system of a building
mcg,2.96,UNCOMMON,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,"one millionth (1/1,000,000) gram"
deriving,2.95,UNCOMMON,1,noun.communication,SPECIAL,historical linguistics,True,False,False,not in Wiktionary,(historical linguistics) an explanation of the historical origins of a word or phrase
enlisting,2.94,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of getting recruits; enlisting people for the army (or for a job or a cause etc.)
audiovisual,2.93,UNCOMMON,1,noun.artifact,GENERAL,,True,False,False,not in Wiktionary,materials using sight or sound to present information
bleu,2.92,UNCOMMON,1,noun.food,GENERAL,,True,False,False,not in Wiktionary,cheese containing a blue mold
newmarket,2.91,UNCOMMON,1,noun.artifact,GENERAL,,True,True,False,not in Wiktionary,a long close-fitting coat worn for riding in the 19th century
adonis,2.9,UNCOMMON,1,noun.person,GENERAL,,True,True,False,not in Wiktionary,any handsome young man
bereaved,2.9,UNCOMMON,1,noun.person,GENERAL,,True,False,False,not in Wiktionary,a person who has suffered the death of someone they loved
reverting,2.9,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,a failure to maintain a higher state
incurring,2.88,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,acquiring or coming into something (usually undesirable)
honouring,2.87,UNCOMMON,1,noun.act,GENERAL,,False,False,False,not in Wiktionary,conformity with law or custom or practice etc.
sodom,2.86,UNCOMMON,1,noun.location,GENERAL,,True,True,False,not in Wiktionary,any location known for vice and corruption
erecting,2.85,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of building or putting up
eroding,2.85,UNCOMMON,1,noun.process,TEC,geology,True,False,False,not in Wiktionary,"(geology) the mechanical process of wearing or grinding something down (as by particles washing over it), also figuratively"
disarming,2.84,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,act of reducing or depriving of arms
malacca,2.84,UNCOMMON,2,noun.plant,BIO,,True,True,False,not in Wiktionary,stem of the rattan palm used for making canes and umbrella handles
demolishing,2.81,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,complete destruction of a building
geordie,2.81,UNCOMMON,1,noun.communication,GENERAL,,True,True,False,not in Wiktionary,the nonstandard dialect of natives of Newcastle-upon-Tyne
maimed,2.81,UNCOMMON,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,people who are wounded
agua,2.76,UNCOMMON,1,noun.animal,BIO,,True,False,False,not in Wiktionary,largest known toad species; native to Central America; valuable destroyer of insect pests
benedictine,2.74,UNCOMMON,1,noun.food,GENERAL,,True,True,False,not in Wiktionary,a French liqueur originally made by Benedictine monks
cochin,2.74,UNCOMMON,1,noun.animal,BIO,,True,False,False,not in Wiktionary,Asian breed of large fowl with dense plumage and feathered legs
compressing,2.71,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,applying pressure
punting,2.69,UNCOMMON,1,noun.act,SPECIAL,football,True,False,False,not in Wiktionary,(football) a kick in which the football is dropped from the hands and kicked before it touches the ground
canfield,2.68,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,a form of solitaire that involves gambling
eldorado,2.68,UNCOMMON,1,noun.cognition,GENERAL,,True,False,False,not in Wiktionary,an imaginary place of great wealth and opportunity; sought in South America by 16th-century explorers
magdalen,2.67,UNCOMMON,1,noun.person,GENERAL,,True,False,False,not in Wiktionary,a reformed prostitute
leeward,2.66,UNCOMMON,2,noun.relation,GENERAL,,True,False,False,not in Wiktionary,the direction in which the wind is blowing
haggle,2.65,UNCOMMON,1,noun.communication,GENERAL,,True,False,False,not in Wiktionary,an instance of intense argument (as in bargaining)
condensing,2.64,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of increasing the density of something
relinquishing,2.64,UNCOMMON,2,noun.communication,GENERAL,,True,False,False,not in Wiktionary,a verbal act of renouncing a claim or right or position etc.
escherichia,2.63,UNCOMMON,1,noun.animal,BIO,,True,False,False,not in Wiktionary,a genus of enteric bacteria
fermenting,2.63,UNCOMMON,1,noun.process,GENERAL,,True,False,False,not in Wiktionary,"a process in which an agent causes an organic substance to break down into simpler substances; especially, the anaerobic breakdown of sugar into alcohol"
professing,2.63,UNCOMMON,1,noun.communication,GENERAL,,True,False,False,not in Wiktionary,an open avowal (true or false) of some belief or opinion
offstage,2.61,UNCOMMON,1,noun.artifact,GENERAL,,True,False,False,not in Wiktionary,a stage area out of sight of the audience
rosita,2.61,UNCOMMON,1,noun.plant,BIO,,True,False,False,not in Wiktionary,erect plant with small clusters of pink trumpet-shaped flowers of southwestern United States
levis,2.6,UNCOMMON,1,noun.artifact,GENERAL,,True,False,False,not in Wiktionary,a popular brand of jeans
energizing,2.59,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the activity of causing to have energy and be active
iva,2.59,UNCOMMON,1,noun.plant,BIO,,True,False,False,not in Wiktionary,any of various coarse shrubby plants of the genus Iva with small greenish flowers; common in moist areas (as coastal salt marshes) of eastern and central North America
pillaging,2.59,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of stealing valuable things from a place
ceding,2.58,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of ceding
legislating,2.58,UNCOMMON,1,noun.act,SPECIAL,legislation;law,True,False,False,not in Wiktionary,the act of making or enacting laws
anjou,2.57,UNCOMMON,1,noun.food,GENERAL,,True,True,False,not in Wiktionary,a pear with firm flesh and a green skin
holla,2.56,UNCOMMON,1,noun.communication,GENERAL,,True,False,False,not in Wiktionary,a very loud utterance (like the sound of an animal)
causa,2.55,UNCOMMON,1,noun.act,SPECIAL,law,True,False,False,not in Wiktionary,a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
readying,2.55,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the activity of putting or setting in order in advance of some act or purpose
publicizing,2.54,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the business of drawing public attention to goods and services
averting,2.5,UNCOMMON,2,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of preventing something from occurring
delegating,2.5,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,authorizing subordinates to make certain decisions
relishing,2.5,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,taking a small amount into the mouth to test its quality
nebuchadnezzar,2.49,UNCOMMON,1,noun.artifact,GENERAL,,True,True,False,not in Wiktionary,a very large wine bottle holding the equivalent of 20 normal bottles of wine; used especially for display
seaward,2.48,UNCOMMON,1,noun.relation,GENERAL,,True,False,False,not in Wiktionary,the direction toward the sea
saute,2.46,UNCOMMON,1,noun.food,GENERAL,,True,False,False,not in Wiktionary,a dish of sauteed food
allis,2.45,UNCOMMON,1,noun.animal,BIO,,True,False,False,not in Wiktionary,European shad
carrefour,2.45,UNCOMMON,1,noun.artifact,GENERAL,,True,False,False,not in Wiktionary,a junction where one street or road crosses another
forgoing,2.44,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of renouncing; sacrificing or giving up or surrendering (a possession or right or title or privilege etc.)
bunsen,2.43,UNCOMMON,1,noun.artifact,GENERAL,,True,True,False,not in Wiktionary,a gas burner used in laboratories; has an air valve to regulate the mixture of gas and air
trilateral,2.43,UNCOMMON,1,noun.shape,GENERAL,,True,False,False,not in Wiktionary,a three-sided polygon
svoboda,2.42,UNCOMMON,1,noun.state,GENERAL,,True,False,False,not in Wiktionary,(Russia) freedom
programing,2.41,UNCOMMON,2,noun.act,GENERAL,,True,False,False,not in Wiktionary,setting an order and time for planned events
vaccinating,2.41,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of protecting against disease by introducing a vaccine into the body to induce immunity
dita,2.4,UNCOMMON,1,noun.plant,BIO,,True,False,False,not in Wiktionary,evergreen tree of eastern Asia and Philippines having large leathery leaves and small green-white flowers in compact cymes; bark formerly used medicinally
eluding,2.4,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of avoiding capture (especially by cunning)
cyprian,2.39,UNCOMMON,1,noun.person,SPECIAL,sexual activity,True,True,False,not in Wiktionary,a woman who engages in sexual intercourse for money
synchronizing,2.39,UNCOMMON,3,noun.relation,GENERAL,,True,False,False,not in Wiktionary,the relation that exists when things occur at the same time
fille,2.37,UNCOMMON,1,noun.person,GENERAL,,True,False,False,not in Wiktionary,a young female
pyrotechnic,2.37,UNCOMMON,1,noun.artifact,GENERAL,,True,False,False,not in Wiktionary,(usually plural) a device with an explosive that burns at a low rate and with colored flames; can be used to illuminate areas or send signals etc.
razzle,2.37,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,any exciting and complex play intended to confuse (dazzle) the opponent
esthetic,2.36,UNCOMMON,1,noun.cognition,SPECIAL,philosophy,True,False,False,not in Wiktionary,(philosophy) a philosophical theory as to what is beautiful
defusing,2.34,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of deactivating or making ineffective (as a bomb)
scanty,2.34,UNCOMMON,1,noun.artifact,GENERAL,,True,False,False,not in Wiktionary,short underpants for women or children
relegating,2.33,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,authorizing subordinates to make certain decisions
swashbuckling,2.32,UNCOMMON,1,noun.attribute,GENERAL,,True,False,False,not in Wiktionary,flamboyantly reckless and boastful behavior
unbalance,2.31,UNCOMMON,2,noun.state,GENERAL,,True,False,False,not in Wiktionary,a lack of balance or state of disequilibrium
hankey,2.3,UNCOMMON,1,noun.artifact,GENERAL,,True,False,False,not in Wiktionary,a square piece of cloth used for wiping the eyes or nose or as a costume accessory
mammon,2.3,UNCOMMON,1,noun.state,GENERAL,,True,True,False,not in Wiktionary,wealth regarded as an evil influence
submerging,2.3,UNCOMMON,1,noun.event,GENERAL,,True,False,False,not in Wiktionary,sinking until covered completely with water
tamp,2.3,UNCOMMON,1,noun.artifact,GENERAL,,True,False,False,not in Wiktionary,"a tool for tamping (e.g., for tamping tobacco into a pipe bowl or a charge into a drill hole etc.)"
hamming,2.27,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,poor acting by a ham actor
pharisee,2.27,UNCOMMON,1,noun.person,GENERAL,,True,True,False,not in Wiktionary,a self-righteous or sanctimonious person
razing,2.27,UNCOMMON,2,noun.event,GENERAL,,True,False,False,not in Wiktionary,the event of a structure being completely demolished and leveled
renege,2.26,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the mistake of not following suit when able to do so
disa,2.25,UNCOMMON,1,noun.plant,BIO,,True,False,False,not in Wiktionary,any orchid of the genus Disa; beautiful orchids with dark green leaves and usually hooded flowers; much prized as emblematic flowers in their native regions
homebound,2.25,UNCOMMON,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,people who are confined to their homes
pdl,2.25,UNCOMMON,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,a unit of force equal to the force that imparts an acceleration of 1 foot/sec/sec to a mass of 1 pound; equal to 0.1382 newtons
congregating,2.23,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of congregating
suturing,2.23,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,surgical joining of two surfaces
molle,2.22,UNCOMMON,1,noun.plant,BIO,,True,False,False,not in Wiktionary,small Peruvian evergreen with broad rounded head and slender pendant branches with attractive clusters of greenish flowers followed by clusters of rose-pink fruits
edda,2.21,UNCOMMON,1,noun.food,GENERAL,,True,True,False,not in Wiktionary,tropical starchy tuberous root
northeastward,2.2,UNCOMMON,1,noun.relation,GENERAL,,True,False,False,not in Wiktionary,the compass point midway between north and east; at 45 degrees
multistage,2.18,UNCOMMON,1,noun.time,GENERAL,,True,False,False,not in Wiktionary,occurring in more than one stage
flunk,2.17,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,failure to reach a minimum required performance
nagi,2.17,UNCOMMON,1,noun.plant,BIO,,True,False,False,not in Wiktionary,medium-sized tree having glossy lanceolate leaves; southern China to Taiwan and southern Japan
symbolising,2.17,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of representing something with a symbol
whoopee,2.16,UNCOMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,noisy and boisterous revelry
campana,2.13,UNCOMMON,1,noun.shape,GENERAL,,True,False,False,not in Wiktionary,the shape of a bell
