noun,start,end,length,name,definition,wikipedia
ableism,a,m,7,False,discrimination in favor of the able-bodied,"Ableism (; also known as ablism, disablism (British English), anapirophobia, anapirism, and disability discrimination) is discrimination and social prejudice against people with physical or mental disabilities."
ablepharia,a,a,10,False,a congenital absence of eyelids (partial or complete),
ablism,a,m,6,False,discrimination in favor of the able-bodied,
ablution,a,n,8,False,the ritual washing of a priest's hands or of sacred vessels,
abnegation,a,n,10,False,the denial and rejection of a doctrine or belief,
abnegator,a,r,9,False,one who gives up or relinquishes or renounces something,
abnormalcy,a,y,10,False,an abnormal physical condition resulting from defective genes or developmental deficiencies,
abnormality,a,y,11,False,an abnormal physical condition resulting from defective genes or developmental deficiencies,
abocclusion,a,n,11,False,the condition in which the upper teeth do not touch the lower teeth when biting,
abode,a,e,5,False,any address at which you dwell more than temporarily,
abohm,a,m,5,False,a unit of resistance equal to a billionth of an ohm,"The abohm is the derived unit of electrical resistance in the emu-cgs (centimeter-gram-second) system of units (emu stands for ""electromagnetic units"")."
abolishment,a,t,11,False,the act of abolishing a system or practice or institution (especially abolishing slavery),
abolition,a,n,9,False,the act of abolishing a system or practice or institution (especially abolishing slavery),
abolitionism,a,m,12,False,the doctrine that calls for the abolition of slavery,"Abolitionism, or the abolitionist movement, is the movement to end slavery and liberate enslaved people around the world."
abolitionist,a,t,12,False,a reformer who favors abolishing slavery,
abomasum,a,m,8,False,the fourth compartment of the stomach of a ruminant; the one where digestion takes place,"The abomasum, also known as the maw, rennet-bag, or reed tripe, is the fourth and final stomach compartment in ruminants."
abomination,a,n,11,False,a person who is loathsome or disgusting,
abominator,a,r,10,False,one who hates or loathes,
aboriginal,a,l,10,False,a dark-skinned member of a race of people living in Australia when Europeans arrived,
aborigine,a,e,9,False,an indigenous person who was born in a particular place,
abort,a,t,5,False,the act of terminating a project or procedure before it is completed,
aborticide,a,e,10,False,a drug (or other chemical agent) that causes abortion,
abortifacient,a,t,13,False,a drug (or other chemical agent) that causes abortion,"An abortifacient (""that which will cause a miscarriage"" from Latin: abortus ""miscarriage"" and faciens ""making"") is a substance that induces abortion."
abortion,a,n,8,False,termination of pregnancy,Abortion is the termination of a pregnancy by removal or expulsion of an embryo or fetus.
abortionist,a,t,11,False,a person (who should be a doctor) who terminates pregnancies,
abortus,a,s,7,False,a human fetus whose weight is less than 0.5 kilogram when removed or expelled from the mother's body,
aboulia,a,a,7,False,a loss of will power,
above,a,e,5,False,an earlier section of a written text,
abracadabra,a,a,11,False,gibberish and nonsense,"Abracadabra is a magic word, historically used as an incantation on amulets and common today in stage magic."
abrachia,a,a,8,False,the condition of having no arms,
abradant,a,t,8,False,a substance that abrades or wears down,
abrader,a,r,7,False,a tool or machine used for wearing down or smoothing or polishing,
abrasion,a,n,8,False,an abraded area where the skin is torn or worn off,
abrasive,a,e,8,False,a substance that abrades or wears down,"An abrasive is a material, often a mineral, that is used to shape or finish a workpiece through rubbing which leads to part of the workpiece being worn away by friction."
abrasiveness,a,s,12,False,the roughness of a substance that causes abrasions,
abreaction,a,n,10,False,(psychoanalysis) purging of emotional tensions,Abreaction (German: Abreagieren) is a psychoanalytical term for reliving an experience to purge it of its emotional excesses—a type of catharsis.
abridgement,a,t,11,False,a shortened version of a written work,An abridgement (or abridgment) is a condensing or reduction of a book or other creative work into a shorter form while maintaining the unity of the source.
abridger,a,r,8,False,one who shortens or abridges or condenses a written work,
abridgment,a,t,10,False,a shortened version of a written work,
abrocome,a,e,8,False,ratlike rodent with soft fur and large ears of the Andes,
abrogation,a,n,10,False,the act of abrogating; an official or legal cancellation,
abrogator,a,r,9,False,an authority or official empowered to abolish or annul or repeal,
abruption,a,n,9,False,an instance of sudden interruption,
abruptness,a,s,10,False,an abrupt discourteous manner,
abscess,a,s,7,False,symptom consisting of a localized collection of pus surrounded by inflamed tissue,An abscess is a collection of pus that has built up within the tissue of the body.
abscissa,a,a,8,False,the value of a coordinate on the horizontal axis,
abscission,a,n,10,False,shedding of flowers and leaves and fruit following formation of scar tissue in a plant,"Abscission (from Latin  ab- 'away', and  scindere 'to cut') is the shedding of various parts of an organism, such as a plant dropping a leaf, fruit, flower, or seed."
absconder,a,r,9,False,a fugitive who runs away and hides to avoid arrest or prosecution,
abscondment,a,t,11,False,the act of running away secretly (as to avoid arrest),
abseil,a,l,6,False,(mountaineering) a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body,
abseiler,a,r,8,False,a person who descends down a nearly vertical face by using a doubled rope that is wrapped around the body and attached to some high point,
absence,a,e,7,False,the state of being absent,
absentee,a,e,8,False,one that is absent or not in residence,
absenteeism,a,m,11,False,habitual absence from work,Absenteeism is a habitual pattern of absence from a duty or obligation without good reason.
absentmindedness,a,s,16,False,preoccupation so great that the ordinary demands on attention are ignored,
absinth,a,h,7,False,strong green liqueur flavored with wormwood and anise,
absinthe,a,e,8,False,aromatic herb of temperate Eurasia and North Africa having a bitter taste used in making the liqueur absinthe,"Absinthe (, French: [apsɛ̃t] ) is an anise-flavored spirit derived from several plants, including the flowers and leaves of Artemisia absinthium (""grand wormwood""), together with green anise, sweet fennel, and other medicinal and culinary herbs."
absolute,a,e,8,False,something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative,
absoluteness,a,s,12,False,the quality of being complete or utter or extreme,
absolution,a,n,10,False,the condition of being formally forgiven by a priest in the sacrament of penance,Absolution is a theological term for the forgiveness imparted by ordained Christian priests and experienced by Christian penitents.
absolutism,a,m,10,False,dominance through threat of punishment and violence,
absolutist,a,t,10,False,one who advocates absolutism,
absolver,a,r,8,False,someone who grants absolution,"Absolver is a martial arts-themed action role-playing video game developed by Sloclap and published by Devolver Digital for PlayStation 4, Windows, and Xbox One."
absorbance,a,e,10,False,(physics) a measure of the extent to which a substance transmits light or other electromagnetic radiation,"Absorbance is defined as ""the logarithm of the ratio of incident to transmitted radiant power through a sample (excluding the effects on cell walls)""."
absorbate,a,e,9,False,a material that has been or is capable of being absorbed,
absorbency,a,y,10,False,the property of being absorbent,
absorbent,a,t,9,False,a material having capacity or tendency to absorb another substance,
absorber,a,r,8,False,(physics) material in a nuclear reactor that absorbs radiation,"In high energy physics experiments, an absorber is a block of material used to absorb some of the energy of an incident particle in an experiment."
absorptance,a,e,11,False,a measure of the rate of decrease in the intensity of electromagnetic radiation (as light) as it passes through a given substance; the fraction of incident radiant energy absorbed per unit mass or thickness of an absorber,"In the study of heat transfer, absorptance of the surface of a material is its effectiveness in absorbing radiant energy."
absorption,a,n,10,False,(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid,
absorptivity,a,y,12,False,(physics) the property of a body that determines the fraction of the incident radiation or sound flux absorbed or absorbable by the body,
abstainer,a,r,9,False,someone who practices self denial as a spiritual discipline,
abstemiousness,a,s,14,False,restricted to bare necessities,
abstention,a,n,10,False,the trait of abstaining (especially from alcohol),"Abstention is a term in election procedure for when a participant in a vote either does not go to vote (on election day) or, in parliamentary procedure, is present during the vote but does not cast a ballot."
abstinence,a,e,10,False,the trait of abstaining (especially from alcohol),Abstinence is the practice of self-enforced restraint from indulging in bodily activities that are widely experienced as giving pleasure.
abstinent,a,t,9,False,a person who refrains from drinking intoxicating beverages,
abstract,a,t,8,False,a concept or idea not associated with any specific instance,
abstractedness,a,s,14,False,preoccupation with something to the exclusion of all else,
abstracter,a,r,10,False,one who makes abstracts or summarizes information,
abstraction,a,n,11,False,a concept or idea not associated with any specific instance,"Abstraction is a process wherein general rules and concepts are derived from the usage and classification of specific examples, literal (real or concrete) signifiers, first principles, or other methods."
abstractionism,a,m,14,False,an abstract genre of art; artistic content depends on internal form rather than pictorial representation,"Abstractionism is the theory that the mind obtains some or all of its concepts by abstracting them from concepts it already has, or from experience."
abstractionist,a,t,14,False,a painter of abstract pictures,
abstractness,a,s,12,False,the quality of being considered apart from a specific instance or object,
abstractor,a,r,10,False,one who makes abstracts or summarizes information,
abstruseness,a,s,12,False,the quality of being unclear or abstruse and hard to understand,
abstrusity,a,y,10,False,wisdom that is recondite and abstruse and profound,
absurd,a,d,6,False,a situation in which life seems irrational and meaningless; --Albert Camus,
absurdity,a,y,9,False,a message whose content is at variance with reason,"Absurdity is a state or condition of being extremely unreasonable, meaningless or unsound in reason so as to be irrational or not taken seriously."
absurdness,a,s,10,False,a message whose content is at variance with reason,
abulia,a,a,6,False,a loss of will power,"In neurology, abulia, or aboulia (from Ancient Greek: βουλή, meaning ""will""), refers to a lack of will or initiative and can be seen as a disorder of diminished motivation (DDM)."
abundance,a,e,9,False,the property of a more than adequate quantity or supply,
abuse,a,e,5,False,cruel or inhumane treatment,"Abuse is the improper usage or treatment of a thing, often to unfairly or improperly gain benefit."
abuser,a,r,6,False,someone who abuses,
abutment,a,t,8,False,point of contact between two objects or parts,An abutment is the substructure at the ends of a bridge span or dam supporting its superstructure.
abutter,a,r,7,False,the owner of contiguous property,An abutter is a person (or entity) whose property is adjacent to the property of another.
abvolt,a,t,6,False,a unit of potential equal to one-hundred-millionth of a volt,The abvolt (abV) is the unit of potential difference in the CGS-EMU system of units.
abwatt,a,t,6,False,a power unit equal to the power dissipated when 1 abampere flows across a potential difference of 1 abvolt (one ten-thousandth of a milliwatt),
abysm,a,m,5,False,a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively),
abyss,a,s,5,False,a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively),
acacia,a,a,6,False,any of various spiny trees or shrubs of the genus Acacia,"Acacia, commonly known as the wattles or acacias, is a genus of about 1084 species of shrubs and trees in the subfamily Mimosoideae of the pea family Fabaceae."
academe,a,e,7,False,the academic world,
academia,a,a,8,False,the academic world,
academic,a,c,8,False,an educator who works at a college or university,
academician,a,n,11,False,someone elected to honorary membership in an academy,"An academician is a full member of an artistic, literary, engineering, or scientific academy."
academicianship,a,p,15,False,the position of member of an honorary academy,
academicism,a,m,11,False,orthodoxy of a scholastic variety,
academism,a,m,9,False,orthodoxy of a scholastic variety,
academy,a,y,7,False,a secondary school (usually private),An academy (Attic Greek: Ἀκαδήμεια; Koine Greek Ἀκαδημία) is an institution of secondary or tertiary higher learning (and generally also research or honorary membership).
acantha,a,a,7,False,any sharply pointed projection,"Acantha (Ancient Greek: Ἀκάνθα, romanized: Akántha, lit. 'thorn') is often claimed to be a minor character in Greek mythology whose metamorphosis was the origin of the Acanthus plant."
acanthion,a,n,9,False,the craniometric point at the anterior extremity of the intermaxillary suture,Acanthion is a subgenus of Old World porcupines in the genus Hystrix.
acanthocephalan,a,n,15,False,any of various worms living parasitically in intestines of vertebrates having a retractile proboscis covered with many hooked spines,
acanthocyte,a,e,11,False,an abnormal red blood cell that has thorny projections of protoplasm,"Acanthocyte (from the Greek word ἄκανθα acantha, meaning 'thorn'), in biology and medicine, refers to an abnormal form of red blood cell that has a spiked cell membrane, due to thorny projections."
acanthocytosis,a,s,14,False,the presence of acanthocytes in the blood stream (as in abetalipoproteinemia),
acantholysis,a,s,12,False,a breakdown of a cell layer in the epidermis (as in pemphigus),"Acantholysis is the loss of intercellular connections, such as desmosomes, resulting in loss of cohesion between keratinocytes, seen in diseases such as pemphigus vulgaris."
acanthoma,a,a,9,False,a neoplasm originating in the epidermis,An acanthoma is a skin neoplasm composed of squamous or epidermal cells.
acanthopterygian,a,n,16,False,a teleost fish with fins that are supported by sharp inflexible rays,
acanthosis,a,s,10,False,an abnormal but benign thickening of the prickle-cell layer of the skin (as in psoriasis),
acanthus,a,s,8,False,any plant of the genus Acanthus having large spiny leaves and spikes or white or purplish flowers; native to Mediterranean region but widely cultivated,
acapnia,a,a,7,False,a state in which the level of carbon dioxide in the blood is lower than normal; can result from deep or rapid breathing,
acaracide,a,e,9,False,a chemical agent used to kill mites,
acardia,a,a,7,False,congenital absence of the heart (as in the development of some monsters),
acariasis,a,s,9,False,infestation with itch mites,Acariasis is an infestation with mites.
acaricide,a,e,9,False,a chemical agent used to kill mites,"Acaricides are pesticides that kill members of the arachnid subclass Acari, which includes ticks and mites."
acarid,a,d,6,False,very small free-living arachnid that is parasitic on animals or plants; related to ticks,
acaridiasis,a,s,11,False,infestation with itch mites,
acarine,a,e,7,False,mite or tick,
acariosis,a,s,9,False,infestation with itch mites,
acarophobia,a,a,11,False,a morbid fear of small insects and mites and worms,
acarus,a,s,6,False,any of several mites of the order Acarina,Acarus is a genus of mites in the family Acaridae.
acaryote,a,e,8,False,a cell without a nucleus (as an erythrocyte),
acatalectic,a,c,11,False,(prosody) a line of verse that has the full number of syllables,
acataphasia,a,a,11,False,a disorder in which a lesion to the central nervous system leaves you unable to formulate a statement or to express yourself in an organized manner,
acathexia,a,a,9,False,an inability to retain bodily secretions,
acathexis,a,s,9,False,(psychoanalysis) a lack of cathexis; a condition in which significant objects or memories arouse no emotion in an individual,"Acathexis is a psychoanalytic term for a lack of emotional response to significant memories or actual interactions, where such a response would normally be expected.The term also refers more broadly to a general absence of normal or expected feelings.Acathexis has been linked to anxiety, bipolar disorder and dementia, while the phenomenon also appears in posttraumatic stress disorder."
accelerando,a,o,11,False,a gradually increasing tempo of music,Accelerando is a 2005 science fiction novel consisting of a series of interconnected short stories written by British author Charles Stross.
acceleration,a,n,12,False,an increase in rate of change,"In mechanics, acceleration is the rate of change of the velocity of an object with respect to time."
accelerator,a,r,11,False,a pedal that controls the throttle valve,
accelerometer,a,r,13,False,an instrument for measuring the acceleration of aircraft or rockets,An accelerometer is a device that measures the proper acceleration of an object.
accent,a,t,6,False,distinctive manner of oral expression,
accenting,a,g,9,False,the act of giving special importance or significance to something,
accentor,a,r,8,False,small sparrow-like songbird of mountainous regions of Eurasia,"The accentors are a genus of birds in the family Prunellidae, which is endemic to the Old World."
accentuation,a,n,12,False,the use or application of an accent; the relative prominence of syllables in a phrase or utterance,
acceptability,a,y,13,False,satisfactoriness by virtue of conforming to approved standards,Acceptability is the characteristic of a thing being subject to acceptance for some purpose.
acceptableness,a,s,14,False,satisfactoriness by virtue of conforming to approved standards,
acceptance,a,e,10,False,the mental attitude that something is believable and should be accepted as true,"Acceptance in human psychology is a person's assent to the reality of a situation, recognizing a process or condition (often a negative or uncomfortable situation) that is a fait accompli without attempting to change it or protest it."
acceptation,a,n,11,False,acceptance as true or valid,
acceptor,a,r,8,False,(chemistry) in the formation of a coordinate bond it is the compound to which electrons are donated,
access,a,s,6,False,the right to enter,
accessary,a,y,9,False,someone who helps another person commit a crime,
accessibility,a,y,13,False,the quality of being at hand when needed,"Accessibility is the design of products, devices, services, vehicles, or environments so as to be usable by people with disabilities."
accession,a,n,9,False,a process of increasing by addition (as to a collection or group),
accessory,a,y,9,False,"clothing that is worn or carried, but not part of your main clothing",
acciaccatura,a,a,12,False,an embellishing note usually written in smaller size,
accidence,a,e,9,False,the part of grammar that deals with the inflections of words,
accident,a,t,8,False,an unfortunate mishap; especially one causing damage or injury,"An accident is an unintended, normally unwanted event that was not directly caused by humans."
accidental,a,l,10,False,a musical notation that makes a note sharp or flat or natural although that is not part of the key signature,
acclaim,a,m,7,False,enthusiastic approval,
acclamation,a,n,11,False,enthusiastic approval,An acclamation is a form of election that does not use a ballot.
acclimation,a,n,11,False,adaptation to a new climate (a new temperature or altitude or environment),
acclimatisation,a,n,15,False,adaptation to a new climate (a new temperature or altitude or environment),
acclimatization,a,n,15,False,adaptation to a new climate (a new temperature or altitude or environment),"Acclimatization or acclimatisation (also called acclimation or acclimatation) is the process in which an individual organism adjusts to a change in its environment (such as a change in altitude, temperature, humidity, photoperiod, or pH), allowing it to maintain fitness across a range of environmental conditions."
acclivity,a,y,9,False,an upward slope or grade (as in a road),
accolade,a,e,8,False,a tangible symbol signifying approval or distinction,The accolade (also known as dubbing or adoubement) (Latin: benedictio militis) was the central act in the rite of passage ceremonies conferring knighthood in the Middle Ages.
accommodation,a,n,13,False,making or becoming suitable; adjusting to circumstances,
accommodator,a,r,12,False,someone who performs a service or does a favor,
accompaniment,a,t,13,False,an event or situation that happens at the same time as or in connection with another,Accompaniment is the musical part which provides the rhythmic and/or harmonic support for the melody or main themes of a song or instrumental piece.
accompanist,a,t,11,False,a person who provides musical accompaniment (usually on a piano),
accompanyist,a,t,12,False,a person who provides musical accompaniment (usually on a piano),
accomplice,a,e,10,False,a person who joins with another in carrying out some plan (especially an unethical or illegal plan),
accomplishment,a,t,14,False,the action of accomplishing something,
accord,a,d,6,False,harmony of people's opinions or actions or characters,
accordance,a,e,10,False,concurrence of opinion,"Accordance is a Bible study program for Apple Macintosh and iPhone, and now Windows and Android, developed by OakTree Software, Inc.Although originally written exclusively for the Mac OS (and then iOS), Accordance was then released in a Windows-native version, although it was available prior to this by using the Basilisk II emulator."
accordion,a,n,9,False,a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player,"Accordions (from 19th-century German Akkordeon, from Akkord—""musical chord, concord of sounds"") are a family of box-shaped musical instruments of the bellows-driven free reed aerophone type (producing sound as air flows past a reed in a frame)."
accordionist,a,t,12,False,a musician who plays the accordion,
accouchement,a,t,12,False,the parturition process in human beings; having a baby; the process of giving birth to a child,
accoucheur,a,r,10,False,a physician specializing in obstetrics,
accoucheuse,a,e,11,False,a woman skilled in aiding the delivery of babies,
account,a,t,7,False,a record or narrative description of past events,
accountability,a,y,14,False,responsibility to someone or for some activity,"Accountability, in terms of ethics and governance, is equated with answerability, culpability, liability, and the expectation of account-giving.As in an aspect of governance, it has been central to discussions related to problems in the public sector, nonprofit, private (corporate), and individual contexts."
accountancy,a,y,11,False,the occupation of maintaining and auditing records and preparing financial reports for a business,
accountant,a,t,10,False,someone who maintains and audits business accounts,An accountant is a practitioner of accounting or accountancy.
accountantship,a,p,14,False,the position of accountant,
accounting,a,g,10,False,a convincing explanation that reveals basic causes,"Accounting, also known as accountancy, is the processing of information about economic entities, such as businesses and corporations."
accouterment,a,t,12,False,"clothing that is worn or carried, but not part of your main clothing",
accoutrement,a,t,12,False,"clothing that is worn or carried, but not part of your main clothing",
accreditation,a,n,13,False,the act of granting credit or recognition (especially with respect to educational institution that maintains suitable standards),"Accreditation is the independent, third-party evaluation of a conformity assessment body (such as certification body, inspection body or laboratory) against recognised standards, conveying formal demonstration of its impartiality and competence to carry out specific conformity assessment tasks (such as certification, inspection and testing).Accreditation bodies are established in many economies with the primary purpose of ensuring that conformity assessment bodies are subject to oversight by an authoritative body."
