noun,wikipedia
abvolt,The abvolt (abV) is the unit of potential difference in the CGS-EMU system of units.
acacia,"Acacia, commonly known as the wattles or acacias, is a genus of about 1084 species of shrubs and trees in the subfamily Mimosoideae of the pea family Fabaceae."
academician,"An academician is a full member of an artistic, literary, engineering, or scientific academy."
academy,An academy (Attic Greek: Ἀκαδήμεια; Koine Greek Ἀκαδημία) is an institution of secondary or tertiary higher learning (and generally also research or honorary membership).
acantha,"Acantha (Ancient Greek: Ἀκάνθα, romanized: Akántha, lit. 'thorn') is often claimed to be a minor character in Greek mythology whose metamorphosis was the origin of the Acanthus plant."
acanthion,Acanthion is a subgenus of Old World porcupines in the genus Hystrix.
acanthocyte,"Acanthocyte (from the Greek word ἄκανθα acantha, meaning 'thorn'), in biology and medicine, refers to an abnormal form of red blood cell that has a spiked cell membrane, due to thorny projections."
acantholysis,"Acantholysis is the loss of intercellular connections, such as desmosomes, resulting in loss of cohesion between keratinocytes, seen in diseases such as pemphigus vulgaris."
acanthoma,An acanthoma is a skin neoplasm composed of squamous or epidermal cells.
acariasis,Acariasis is an infestation with mites.
acaricide,"Acaricides are pesticides that kill members of the arachnid subclass Acari, which includes ticks and mites."
acarus,Acarus is a genus of mites in the family Acaridae.
acathexis,"Acathexis is a psychoanalytic term for a lack of emotional response to significant memories or actual interactions, where such a response would normally be expected.The term also refers more broadly to a general absence of normal or expected feelings.Acathexis has been linked to anxiety, bipolar disorder and dementia, while the phenomenon also appears in posttraumatic stress disorder."
accelerando,Accelerando is a 2005 science fiction novel consisting of a series of interconnected short stories written by British author Charles Stross.
acceleration,"In mechanics, acceleration is the rate of change of the velocity of an object with respect to time."
accelerometer,An accelerometer is a device that measures the proper acceleration of an object.
accentor,"The accentors are a genus of birds in the family Prunellidae, which is endemic to the Old World."
acceptability,Acceptability is the characteristic of a thing being subject to acceptance for some purpose.
acceptance,"Acceptance in human psychology is a person's assent to the reality of a situation, recognizing a process or condition (often a negative or uncomfortable situation) that is a fait accompli without attempting to change it or protest it."
accessibility,"Accessibility is the design of products, devices, services, vehicles, or environments so as to be usable by people with disabilities."
accident,"An accident is an unintended, normally unwanted event that was not directly caused by humans."
acclamation,An acclamation is a form of election that does not use a ballot.
acclimatization,"Acclimatization or acclimatisation (also called acclimation or acclimatation) is the process in which an individual organism adjusts to a change in its environment (such as a change in altitude, temperature, humidity, photoperiod, or pH), allowing it to maintain fitness across a range of environmental conditions."
accolade,The accolade (also known as dubbing or adoubement) (Latin: benedictio militis) was the central act in the rite of passage ceremonies conferring knighthood in the Middle Ages.
accompaniment,Accompaniment is the musical part which provides the rhythmic and/or harmonic support for the melody or main themes of a song or instrumental piece.
accordance,"Accordance is a Bible study program for Apple Macintosh and iPhone, and now Windows and Android, developed by OakTree Software, Inc.Although originally written exclusively for the Mac OS (and then iOS), Accordance was then released in a Windows-native version, although it was available prior to this by using the Basilisk II emulator."
accordion,"Accordions (from 19th-century German Akkordeon, from Akkord—""musical chord, concord of sounds"") are a family of box-shaped musical instruments of the bellows-driven free reed aerophone type (producing sound as air flows past a reed in a frame)."
accountability,"Accountability, in terms of ethics and governance, is equated with answerability, culpability, liability, and the expectation of account-giving.As in an aspect of governance, it has been central to discussions related to problems in the public sector, nonprofit, private (corporate), and individual contexts."
accountant,An accountant is a practitioner of accounting or accountancy.
accounting,"Accounting, also known as accountancy, is the processing of information about economic entities, such as businesses and corporations."
accreditation,"Accreditation is the independent, third-party evaluation of a conformity assessment body (such as certification body, inspection body or laboratory) against recognised standards, conveying formal demonstration of its impartiality and competence to carry out specific conformity assessment tasks (such as certification, inspection and testing).Accreditation bodies are established in many economies with the primary purpose of ensuring that conformity assessment bodies are subject to oversight by an authoritative body."
accrual,"In finance, an accrual (accumulation) of something is the adding together of interest or different investments over a period of time."
acculturation,"Acculturation is a process of social, psychological, and cultural change that stems from the balancing of two cultures while adapting to the prevailing culture of the society."
accusation,An accusation is a statement by one person asserting that another person or entity has done something improper.
ace,"An ace is a playing card, die or domino with a single pip."
acebutolol,"Acebutolol, sold under the brand names Sectral among others, is a beta blocker for the treatment of hypertension and arrhythmias."
acedia,"Acedia (; also accidie or accedie , from Latin acēdia, and this from Greek ἀκηδία, ""negligence"", ἀ- ""lack of"" -κηδία ""care"") has been variously defined as a state of listlessness or torpor, of not caring or not being concerned with one's position or condition in the world."
acervulus,An acervulus (pl.
acetabulum,"The acetabulum (; pl.: acetabula) also called the cotyloid cavity, is a concave surface of the pelvis."
acetal,"In organic chemistry, an acetal is a functional group with the connectivity R2C(OR')2."
acetaldehyde,"Acetaldehyde (IUPAC systematic name ethanal) is an organic chemical compound with the formula CH3CHO, sometimes abbreviated as MeCHO. It is a colorless liquid or gas, boiling near room temperature."
acetamide,Acetamide (systematic name: ethanamide) is an organic compound with the formula CH3CONH2.
acetanilide,Acetanilide is an odourless solid chemical of leaf or flake-like appearance.
acetate,An acetate is a salt formed by the combination of acetic acid with a base (e.g.
acetone,Acetone (2-propanone or dimethyl ketone) is an organic compound with the formula (CH3)2CO. It is the simplest and smallest ketone (>C=O).
acetylation,"In chemistry, acetylation  is an organic esterification reaction with acetic acid."
acetylcholine,Acetylcholine (ACh) is an organic compound that functions in the brain and body of many types of animals (including humans) as a neurotransmitter.
acetylene,Acetylene (systematic name: ethyne) is the chemical compound with the formula C2H2 and structure H−C≡C−H. It is a hydrocarbon and the simplest alkyne.
achene,"An achene (; from Ancient Greek  ἀ (a) 'privative', and  χαίνειν (khaínein) 'to gape'), also sometimes called akene and occasionally achenium or achenocarp, is a type of simple dry fruit produced by many species of flowering plants."
achillea,"Achillea  is a genus of flowering plants in the family Asteraceae, known colloquially as yarrows."
achimenes,Achimenes  is a genus of about 25 species of tropical and subtropical rhizomatous perennial herbs in the flowering plant family Gesneriaceae.
achlorhydria,"Achlorhydria and hypochlorhydria refer to states where the production of hydrochloric acid in gastric secretions of the stomach and other digestive organs is absent or low, respectively."
acholia,"Acholia  or hypocholia is pallor of the feces, which lack their normal brown colour, as a result of impaired bile secretion into the bowel."
achondrite,An achondrite is a stony meteorite that does not contain chondrules.
achondroplasia,Achondroplasia is a genetic disorder with an autosomal dominant pattern of inheritance whose primary feature is dwarfism.
acicula,"Acicula (SG: aciculum) are strong, stout internal chaetae that provide support to parapodia in polychaete annelids."
acid,An acid is a molecule or ion capable of either donating a proton (i.e.
acidophile,Acidophiles or acidophilic organisms are those that thrive under highly acidic conditions (usually at pH 5.0 or below).
acidosis,"Acidosis is a process causing increased acidity in the blood and other body tissues (i.e., an increase in hydrogen ion concentration)."
acinus,"An acinus (; pl.: acini; adjective, acinar  or acinous) refers to any cluster of cells that resembles a many-lobed ""berry,"" such as a raspberry (acinus is Latin for ""berry"")."
acne,"Acne, also known as acne vulgaris, is a long-term skin condition that occurs when dead skin cells and oil from the skin clog hair follicles."
acolyte,An acolyte is an assistant or follower assisting the celebrant in a religious service or procession.
acorn,"The acorn, or oaknut, is the nut of the oaks and their close relatives (genera Quercus and Lithocarpus, in the family Fagaceae)."
acoustics,"Acoustics is a branch of physics that deals with the study of mechanical waves in gases, liquids, and solids including topics such as vibration, sound, ultrasound and infrasound."
acquiescence,"In law, acquiescence occurs when a person knowingly stands by, without raising any objection to, the infringement of their rights, while someone else unknowingly and without malice aforethought acts in a manner inconsistent with their rights."
acquittal,"In common law jurisdictions, an acquittal means that the prosecution has failed to prove that the accused is guilty beyond a reasonable doubt of the charge presented."
acre,The acre ( AY-kər) is a unit of land area used in the British imperial and the United States customary systems.
acrobatics,"Acrobatics (from Ancient Greek  ἀκροβατέω (akrobatéō) 'walk on tiptoe, strut') is the performance of human feats of balance, agility, and motor coordination."
acrocyanosis,"Acrocyanosis is persistent blue or cyanotic discoloration of the extremities, most commonly occurring in the hands, although it also occurs in the feet and distal parts of face."
acrodont,"Acrodonty (from Greek akros 'highest' + dont 'tooth') is an anatomical placement of the teeth at the summit of the alveolar ridge of the jaw, without sockets, characteristic of bony fish."
acrolein,Acrolein (systematic name: propenal) is the simplest unsaturated aldehyde.
acromegaly,Acromegaly is a disorder that results in excess growth of certain parts of the human body.
acromion,"In human anatomy, the acromion (from Greek: akros, ""highest"", ōmos, ""shoulder"", pl.: acromia) is a bony process on the scapula (shoulder blade)."
acronym,An acronym is a word or name consisting of parts of the full name's words.
acrophobia,"Acrophobia is an extreme or irrational fear or phobia of heights, especially when one is not particularly high up."
acrophony,Acrophony (; Greek: ἄκρος akros uppermost + φωνή phone sound) is the naming of letters of an alphabetic writing system so that a letter's name begins with the letter itself.
acropolis,"An acropolis was the settlement of an upper part of an ancient Greek city, especially a citadel, and frequently a hill with precipitous sides, mainly chosen for purposes of defense."
acrosome,"The acrosome is an organelle that develops over the anterior (front) half of the head in the spermatozoa (sperm cells) of humans, and many other animals."
acrostic,"https://www.seyalmantram.in/%e0%ae%95%e0%ae%be%e0%ae%a3%e0%af%8a%e0%ae%b3%e0%ae%bf-%e0%ae%87%e0%ae%a3%e0%af%88%e0%ae%aa%e0%af%8d%e0%ae%aa%e0%af%81/acrostic-poem-1-speak-the-word-2-energy-system/2157/
LINK FOR ACROSTIC POEM

An acrostic is a poem or other word composition in which the first letter (or syllable, or word) of each new line (or paragraph, or other recurring feature in the text) spells out a word, message or the alphabet."
acrylamide,Acrylamide (or acrylic amide) is an organic compound with the chemical formula CH2=CHC(O)NH2.
acrylate,"Acrylates (IUPAC: prop-2-enoates) are the salts, esters, and conjugate bases of acrylic acid."
acrylonitrile,"Acrylonitrile is an organic compound with the formula CH2CHCN and the structure H2C=CH−C≡N. It is a colorless, volatile liquid."
actin,"Actin is a family of globular multi-functional proteins that form microfilaments in the cytoskeleton, and the thin filaments in muscle fibrils."
acting,"Acting is an activity in which a story is told by means of its enactment by an actor who adopts a character—in theatre, television, film, radio, or any other medium that makes use of the mimetic mode."
actinia,Actinia is a genus of sea anemones in the family Actiniidae.
actinide,"The actinide () or actinoid () series encompasses at least the 14 metallic chemical elements in the 5f series, with atomic numbers from 89 to 102, actinium through nobelium."
actinism,Actinism () is the property of solar radiation that leads to the production of photochemical and photobiological effects.
actinium,Actinium is a chemical element; it has symbol Ac and atomic number 89.
actinolite,Actinolite is an amphibole silicate mineral with the chemical formula Ca2(Mg4.5–2.5Fe2+0.5–2.5)Si8O22(OH)2.
actinometer,An actinometer is an instrument that can measure the heating power of radiation.
actinomyces,Actinomyces is a genus of the Actinomycetia class of bacteria.
actinomycosis,Actinomycosis is a rare infectious bacterial disease caused by the gram-positive Actinomyces species.
activation,"Activation, in chemistry and biology, is the process whereby something is prepared or excited for a subsequent reaction."
activism,"Activism (or advocacy) consists of efforts to promote, impede, direct or intervene in social, political, economic or environmental reform with the desire to make changes in society toward a perceived greater good."
actor,An actor or actress is a person who portrays a character in a production.
actuary,An actuary is a professional with advanced mathematical skills who deals with the measurement and management of risk and uncertainty.
actuator,"An actuator is a component of a machine that produces force, torque, or displacement, usually in a controlled way, when an electrical, pneumatic or hydraulic input is supplied to it in a system (called an actuating system)."
acupressure,Acupressure is an alternative medicine technique often used in conjunction with acupuncture or reflexology.
acupuncture,Acupuncture is a form of alternative medicine and a component of traditional Chinese medicine (TCM) in which thin needles are inserted into the body.
acylation,"In chemistry, acylation is a broad class of chemical reactions in which an acyl group (R−C=O) is added to a substrate."
adamant,Adamant in classical mythology is an archaic form of diamond.
adaptability,"Adaptability (Latin: adaptō ""fit to, adjust"") is a feature of a system or of a process."
adaptation,"In biology, adaptation has three related meanings."
adapter,An adapter or adaptor is a device that converts attributes of one electrical device or system to those of an otherwise incompatible device or system.
addax,"The addax (Addax nasomaculatus), also known as the white antelope and the screwhorn antelope, is an antelope native to the Sahara Desert."
addendum,"An addendum or appendix, in general, is an addition required to be made to a document by its author subsequent to its printing or publication."
adder,"Vipera berus, also known as the common European adder and the common European viper, is a species of venomous snake in the family Viperidae."
addiction,"Addiction is a neuropsychological disorder characterized by a persistent and intense urge to use a drug or engage in a behaviour that produces natural reward, despite substantial harm and other negative consequences."
addition,"Addition (usually signified by the plus symbol +) is one of the four basic operations of arithmetic, the other three being subtraction, multiplication and division."
address,"An address is a collection of information, presented in a mostly fixed format, used to give the location of a building, apartment, or other structure or a plot of land, generally using political boundaries and street names as references, along with other identifiers such as house or apartment numbers and organization name."
adduct,"In chemistry, an adduct (from Latin  adductus 'drawn toward'; alternatively, a contraction of ""addition product"") is a product of a direct addition of two or more distinct molecules, resulting in a single reaction product containing all atoms of all components."
adenine,Adenine () (symbol A or Ade) is a  purine nucleobase.
adenitis,Adenitis is a general term for an inflammation of a gland.
adenocarcinoma,Adenocarcinoma (; plural adenocarcinomas or adenocarcinomata ; AC) is a type of cancerous tumor that can occur in several parts of the body.
adenoid,"In anatomy, the pharyngeal tonsil, also known as the nasopharyngeal tonsil or adenoid, is the superior-most of the tonsils."
adenoidectomy,"Adenoidectomy is the surgical removal of the adenoid for reasons which include impaired breathing through the nose, chronic infections, or recurrent earaches."
adenoma,"An adenoma is a benign tumor of epithelial tissue with glandular origin, glandular characteristics, or both."
adenomyosis,"Adenomyosis is a medical condition characterized by the growth of cells that proliferate on the inside of the uterus (endometrium) atypically located among the cells of the uterine wall (myometrium), as a result, thickening of the uterus occurs."
adenosine,Adenosine (symbol A) is an organic compound that occurs widely in nature in the form of diverse derivatives.
adept,"An adept is an individual identified as having attained a specific level of knowledge, skill, or aptitude in doctrines relevant to a particular author or organization."
adhesion,Adhesion is the tendency of dissimilar particles or surfaces to cling to one another (cohesion refers to the tendency of similar or identical particles/surfaces to cling to one another).
adhesive,"Adhesive, also known as glue, cement, mucilage, or paste, is any non-metallic substance applied to one or both surfaces of two separate items that binds them together and resists their separation.The use of adhesives offers certain advantages over other binding techniques such as sewing, mechanical fastenings, or welding."
adhocracy,"Adhocracy is a flexible, adaptable and informal form of organization that is defined by a lack of formal structure that employs specialized multidisciplinary teams grouped by functions."
adit,"An adit (from Latin aditus, entrance) or stulm
is a horizontal or nearly horizontal passage to an  underground mine."
adjective,An adjective (abbreviated adj.) is a word that describes or defines a noun or noun phrase.
adjournment,"In parliamentary procedure, an adjournment ends a meeting."
adjudication,"Adjudication is the legal process by which an arbiter or judge reviews evidence and argumentation, including legal reasoning set forth by opposing parties or litigants, to come to a decision which determines rights and obligations between the parties involved.Adjudication can also refer to the processes at dance competitions, in television game shows and at other competitive forums, by which competitors are evaluated and ranked and a winner is found."
adjudicator,"An adjudicator is someone who presides, judges, and arbitrates during a formal dispute or competition."
adjutant,"Adjutant is a military appointment given to an officer who assists the commanding officer with unit administration, mostly the management of human resources in an army unit."
adjuvant,"In pharmacology, an adjuvant is a drug or other substance, or a combination of substances, that is used to increase the efficacy or potency of certain drugs."
admiral,Admiral is one of the highest ranks in some navies.
admiration,"Admiration is a social emotion felt by observing people of competence, talent, or skill exceeding standards."
admittance,"In electrical engineering, admittance is a measure of how easily a circuit or device will allow a current to flow."
admonition,"Admonition (or ""being admonished"") is the lightest punishment under Scots law."
adnoun,Adnoun is a linguistic term used with two different meanings.
adobe,Adobe (  ə-DOH-bee; Spanish pronunciation: [aˈðoβe]) is a building material made from earth and organic materials.
adobo,"Adobo or adobar (Spanish: marinade, sauce, or seasoning) is the immersion of cooked food in a stock (or sauce) composed variously of paprika, oregano, salt, garlic, and vinegar to preserve and enhance its flavor."
adolescence,Adolescence (from Latin  adolescere 'to mature') is a transitional stage of physical and psychological development that generally occurs during the period from puberty to adulthood (typically corresponding to the age of majority).
adonis,"In Greek mythology, Adonis (Ancient Greek: Ἄδωνις, romanized: Adōnis; Phoenician: 𐤀𐤃𐤍, romanized: Adón) was the mortal lover of the goddess Aphrodite and Persephone, who was famous for having achieved immortality."
adoption,"Adoption is a process whereby a person assumes the parenting of another, usually a child, from that person's biological or legal parent or parents."
adoration,"Adoration is respect, reverence, strong admiration, or love in a certain person, place, or thing."
adornment,An adornment is generally an accessory or ornament worn to enhance the beauty or status of the wearer.
adoxography,Adoxography is elegant or refined writing that addresses a trivial or base subject.
adrenalectomy,"Adrenalectomy (Latin root Ad ""near/at"" + renal ""related to the kidneys"" + Greek ‑ectomy “out-cutting”; sometimes written as ADX for the procedure or resulting state) is the surgical removal of one (unilateral) or both (bilateral) adrenal glands."
adrenaline,"Adrenaline, also known as epinephrine, is a hormone and medication which is involved in regulating visceral functions (e.g., respiration)."
adrenarche,"Adrenarche is an early stage in sexual maturation that happens in some higher primates and in humans, typically peaks at around 20 years of age, and is involved in the development of pubic hair, body odor, skin oiliness, axillary hair, sexual attraction/sexual desire/increased libido and mild acne."
adrenergic,"Adrenergic means ""working on adrenaline (epinephrine) or noradrenaline (norepinephrine)"" (or on their receptors)."
adrenosterone,"Adrenosterone, also known as Reichstein's substance G , as well as 11-ketoandrostenedione (11-KA4), 11-oxoandrostenedione (11-OXO), and androst-4-ene-3,11,17-trione, is a steroid hormone with an extremely weak androgenic effect, and an intermediate/prohormone of 11-ketotestosterone."
adroitness,Social adroitness is a personality trait measured in the Jackson Personality Inventory and the Jackson Personality Inventory-Revised.
adsorption,"Adsorption is the adhesion of atoms, ions or molecules from a gas, liquid or dissolved solid to a surface."
adult,An adult is a human or other animal that has reached full growth.
adulterant,"An adulterant is caused by the act of adulteration, a practice of secretly mixing a substance with another."
adultery,"Adultery is extramarital sex that is considered objectionable on social, religious, moral, or legal grounds."
advection,"In the field of physics, engineering, and earth sciences, advection is the transport of a substance or quantity by bulk motion of a fluid."
advent,Advent is a season observed in most Christian denominations as a time of expectant waiting and preparation for both the celebration of the Nativity of Christ at Christmas and the return of Christ at the Second Coming.
adventitia,"The adventitia ( ad-ven-TI-shuh) is the outer layer of fibrous connective tissue surrounding an organ.The outer layer of connective tissue that surrounds an artery, or vein – the tunica externa, is also called the tunica adventitia."
adventure,"An adventure is an exciting experience or undertaking that is typically bold, sometimes risky."
adverb,"An adverb is a word or an expression that generally modifies a verb, adjective, another adverb, determiner, clause, preposition, or sentence."
adverbial,"In English grammar, an adverbial (abbreviated adv) is a word (an adverb) or a group of words (an adverbial clause or adverbial phrase) that modifies or more closely defines the sentence or the verb."
advertising,Advertising is the practice and techniques employed to bring attention to a product or service.
advertorial,An advertorial is an advertisement in the form of editorial content.
adviser,An adviser or advisor is normally a person with more and deeper knowledge in a specific area and usually also includes persons with cross-functional and multidisciplinary expertise.
advocacy,"Advocacy is an activity by an individual or group that aims to influence decisions within political, economic, and social institutions."
advocate,An advocate is a professional in the field of law.
advowson,"Advowson () or patronage is the right in English law of a patron (avowee) to present to the diocesan bishop (or in some cases the ordinary if not the same person) a nominee for appointment to a vacant ecclesiastical benefice or church living, a process known as presentation (jus praesentandi, Latin: ""the right of presenting"")."
adynamia,Adynamia means lack of strength or vigor due to a pathological condition.
adze,An adze () or adz is an ancient and versatile cutting tool similar to an axe but with the cutting edge perpendicular to the handle rather than parallel.
aeciospore,Aeciospores are one of several different types of spores formed by rusts.
aecium,An aecium (plural aecia) is a specialised reproductive structure found in some plant pathogenic rust fungi that produce aeciospores.
aegis,"The aegis ( EE-jis; Ancient Greek: αἰγίς aigís), as stated in the Iliad, is a device carried by Athena and Zeus, variously interpreted as an animal skin or a shield and sometimes featuring the head of a Gorgon."
aeon,"The word aeon , also spelled eon (in American and Australian English), originally meant ""life"", ""vital force"" or ""being"", ""generation"" or ""a period of time"", though it tended to be translated as ""age"" in the sense of  ""ages"", ""forever"", ""timeless"" or ""for eternity""."
aepyornis,Aepyornis is an extinct genus of elephant bird formerly endemic to Madagascar.
aeration,"Aeration (also called aerification or aeriation) is the process by which air is circulated through, mixed with or dissolved in a liquid or other substances that act as a fluid (such as soil)."
aerides,"Aerides, known commonly as cat's-tail orchids and fox brush orchids,  is a genus belonging to the orchid family (Orchidaceae, subfamily Epidendroideae, tribe Vandeae, subtribe Aeridinae)."
aerobatics,Aerobatics is the practice of flying maneuvers involving aircraft attitudes that are not used in conventional passenger-carrying flights.
aerobics,"Aerobics is a form of physical exercise that combines rhythmic aerobic exercise with stretching and strength training routines with the goal of improving all elements of fitness (flexibility, muscular strength, and cardio-vascular fitness)."
aerodrome,"An aerodrome (Commonwealth English) or airdrome (American English) is a location from which aircraft flight operations take place, regardless of whether they involve air cargo, passengers, or neither, and regardless of whether it is for public or private use."
