name,in_namenet,in_wikipedia,also_oewn_noun
agni,True,True,False
agonidae,True,True,False
agonus,True,True,False
agra,True,True,False
agricola,True,False,False
agriculture,False,True,True
agrigento,True,True,False
agriocharis,True,False,False
agrippa,True,False,False
agrippina,True,True,False
agrobacterium,True,True,False
agropyron,True,True,False
agrostemma,True,True,False
agrostis,True,True,False
ahab,True,True,False
ahriman,True,True,False
ahura,False,True,False
ahvenanmaa,True,False,False
aides,True,False,False
aidoneus,True,True,False
aigina,True,False,False
aiken,True,False,False
ailey,True,False,False
ailuropoda,True,True,False
ailuropodidae,True,False,False
ailurus,True,False,False
aire,True,False,False
airedale,False,True,False
aix,True,False,False
aizoaceae,True,True,False
ajaia,True,False,False
ajax,True,False,False
ajuga,True,True,False
akaba,True,False,False
aken,True,False,False
akeridae,True,True,False
akhbari,False,True,False
akhenaten,True,True,False
akhenaton,True,False,False
akka,True,False,False
akko,True,False,False
akmola,True,False,False
akron,True,False,False
alabama,False,True,False
aladdin,True,True,False
alamo,True,False,False
alaric,True,False,False
alaska,True,True,False
alauda,True,True,False
alaudidae,True,False,False
albania,True,True,False
albany,True,False,False
albatrellus,True,True,False
albee,True,False,False
albers,True,True,False
albert,True,False,False
alberta,True,True,False
alberti,True,False,False
albion,True,True,False
alborg,True,False,False
albuginaceae,True,True,False
albugo,True,True,False
albula,True,False,False
albulidae,True,False,False
albuquerque,True,False,False
alca,True,False,False
alcaeus,True,False,False
alcea,True,True,False
alcedinidae,True,False,False
alcedo,True,True,False
alcelaphus,True,False,False
alces,True,False,False
alcibiades,True,True,False
alcidae,True,False,False
alcides,True,True,False
alcott,True,True,False
alcyonacea,True,True,False
alcyonaria,True,False,False
alcyone,True,False,False
aldebaran,True,True,False
aldrovanda,True,True,False
alectis,True,True,False
alecto,True,True,False
alectoria,True,False,False
alectoris,True,True,False
alectura,True,False,False
alep,True,False,False
alepisaurus,True,False,False
aleppo,True,True,False
aletris,True,True,False
aleurites,True,True,False
aleutians,True,False,False
alexander,True,True,True
alexandria,True,True,False
alexandrine,False,True,False
aleyrodes,True,False,False
aleyrodidae,True,False,False
alfred,True,False,False
alger,True,False,False
algeria,True,True,False
algerie,True,False,False
algeripithecus,True,True,False
algiers,True,True,False
algol,True,True,False
algren,True,False,False
alhacen,True,False,False
alhambra,True,True,False
alhazen,True,False,False
ali,True,True,False
alisma,True,True,False
alismales,True,False,False
alismataceae,True,True,False
alismatidae,True,True,False
allah,True,True,False
alleghenies,True,False,False
allegheny,True,False,False
allen,True,False,False
allentown,True,False,False
allhallowtide,False,True,False
alliaceae,True,False,False
alliaria,True,True,False
alligatoridae,True,True,False
allionia,True,True,False
allioniaceae,True,False,False
allium,True,True,False
almaty,True,True,False
almighty,True,False,False
alnico,False,True,False
alnus,True,False,False
aloeaceae,True,False,False
alonso,True,True,False
alopecurus,True,True,False
alopex,True,False,False
alopiidae,True,False,False
alopius,True,True,False
alosa,True,True,False
alouatta,True,False,False
alpena,True,False,False
alpinia,True,True,False
alps,True,True,False
alsace,True,True,False
alsatia,True,False,False
alsobia,True,True,False
alsophila,True,False,False
alstonia,True,True,False
alstroemeriaceae,True,True,False
altair,True,True,False
alternanthera,True,True,False
altoona,True,False,False
alyssum,True,True,True
alytes,True,False,False
amaethon,True,True,False
amanita,True,True,False
amaranthaceae,True,True,False
amaranthus,True,False,False
amarillo,True,False,False
amaryllidaceae,True,True,False
amaterasu,True,True,False
amati,False,True,False
amauropelta,True,True,False
amazona,True,False,False
amberboa,True,True,False
ambloplites,True,True,False
amblyrhynchus,True,False,False
ambrose,True,True,False
ambrosiaceae,True,False,False
ambystoma,True,False,False
ambystomatidae,True,True,False
ameiuridae,True,False,False
ameiurus,True,True,False
amelanchier,True,True,False
amen,True,True,False
amentiferae,True,False,False
america,True,False,False
americanization,False,True,False
amharic,False,True,False
amia,True,False,False
amianthum,True,False,False
amiidae,True,True,False
amish,False,True,False
amman,True,True,False
ammodytes,True,True,False
ammodytidae,True,False,False
ammotragus,True,False,False
amoebida,True,False,False
amoebina,True,False,False
amon,True,False,False
amontillado,False,True,False
amor,True,False,False
amos,True,False,False
amphibolips,True,True,False
amphicarpa,True,False,False
amphicarpaea,True,True,False
amphineura,True,False,False
amphioxidae,True,False,False
amphipoda,True,True,False
amphiprion,True,True,False
amphisbaena,True,True,True
amphisbaenia,True,True,False
amphisbaenidae,True,True,False
amphiumidae,True,False,False
amsinckia,True,True,False
amsonia,True,True,False
amsterdam,True,True,False
amun,True,True,False
amundsen,True,False,False
amur,True,True,False
amygdalaceae,True,False,False
amygdalus,True,False,False
ana,True,False,True
anabantidae,True,False,False
anabaptism,False,True,False
anabas,True,True,False
anabrus,True,True,False
anacanthini,True,False,False
anacardiaceae,True,True,False
anacardium,True,True,False
anacyclus,True,True,False
anadenanthera,True,True,False
anagallis,True,True,False
anagasta,True,False,False
anagyris,True,True,False
anaheim,True,False,False
ananas,True,True,True
ananias,True,False,False
anaphalis,True,True,False
anapsida,True,False,False
anapurna,True,False,False
anarhichadidae,True,True,False
anarhichas,True,True,False
anas,True,True,False
anasa,True,True,False
anaspida,True,True,False
anastatica,True,True,False
anastomus,True,False,False
anatidae,True,True,False
anatolia,True,True,False
anaxagoras,True,True,False
anaximander,True,True,False
anaximenes,True,False,False
anchorage,True,False,True
ancistrodon,True,False,False
ancohuma,True,True,False
ancylidae,True,False,False
ancylostomatidae,True,True,False
ancylus,True,True,False
andalucia,True,False,False
andalusia,True,True,False
andersen,True,True,False
anderson,True,False,False
andes,True,True,False
andira,True,True,False
andorra,True,True,False
andreaea,True,True,False
andreaeales,True,False,False
andrenidae,True,True,False
andrew,True,True,False
andrews,True,False,False
andricus,True,True,False
andromeda,True,False,True
andropogon,True,True,False
andvari,False,True,False
aneides,True,False,False
anemia,True,True,True
anemonella,True,False,False
anemopsis,True,True,False
anethum,True,True,False
angara,True,True,False
angel,True,True,True
angelus,True,True,True
angiospermae,True,False,False
angle,False,True,True
anglesea,True,False,False
anglesey,True,True,False
anglia,True,False,False
anglicanism,False,True,False
anglicisation,False,True,False
anglicism,False,True,False
angola,True,True,False
angraecum,True,True,False
anguidae,True,True,False
anguilla,True,True,False
anguillidae,True,True,False
anguilliformes,True,False,False
anguillula,True,False,False
anguis,True,True,False
anhima,True,False,False
anhimidae,True,False,False
anhingidae,True,False,False
anigozanthus,True,False,False
animalia,True,False,False
anisoptera,True,False,False
anisotremus,True,True,False
anjou,True,False,True
ankara,True,True,False
annaba,True,True,False
annam,True,False,False
annapolis,True,False,False
annapurna,True,True,False
anne,True,True,False
annelida,True,False,False
anniellidae,True,False,False
annona,True,True,True
annonaceae,True,True,False
annunciation,False,True,True
annwn,False,True,False
anobiidae,True,False,False
anodonta,True,True,False
anoectochilus,True,True,False
anogramma,True,True,False
anolis,True,True,False
anomala,True,True,False
anomalopidae,True,True,False
anomia,True,False,True
anomiidae,True,True,False
anopheles,True,True,False
anoplura,True,False,False
anostraca,True,True,False
anouilh,True,False,False
anpu,True,False,False
anselm,True,False,False
anser,True,False,False
anseres,True,False,False
anseriformes,True,True,False
anserinae,True,True,False
anshar,True,True,False
antakiya,True,False,False
antakya,True,True,False
antalya,True,True,False
antananarivo,True,True,False
antarctic,True,True,False
antarctica,True,True,False
antares,True,True,False
antedon,True,True,False
antedonidae,True,True,False
antennaria,True,True,False
antennariidae,True,False,False
anthemis,True,True,False
antheraea,True,True,False
anthericum,True,True,False
antheropeas,True,False,False
anthidium,True,True,False
anthoceropsida,True,False,False
anthoceros,True,True,False
anthocerotaceae,True,True,False
anthocerotales,True,False,False
anthonomus,True,True,False
anthony,True,True,False
anthophyta,True,True,False
anthozoa,True,True,False
anthriscus,True,True,False
anthropoidea,True,False,False
anthus,True,False,False
anthyllis,True,True,False
antichrist,True,True,False
antidorcas,True,True,False
antigone,True,True,False
antigonia,True,False,False
antigonus,True,False,False
antigua,True,True,False
antilles,True,True,False
antilocapra,True,True,False
antilocapridae,True,True,False
antilope,True,True,False
antioch,True,True,False
antirrhinum,True,True,False
antlia,True,True,False
antofagasta,True,True,False
antoninus,True,False,False
antonius,True,True,False
antony,True,False,False
antrozous,True,False,False
antum,True,False,False
antwerp,True,True,False
antwerpen,True,False,False
anu,True,True,False
anubis,True,True,False
anunnaki,False,True,False
anura,True,False,False
anvers,True,False,False
anzio,True,True,False
anzu,True,False,False
aotus,True,False,False
apache,False,True,True
apalachicola,True,False,False
apatura,True,True,False
apeldoorn,True,True,False
apennines,True,False,False
aphasmidia,True,False,False
aphididae,True,True,False
aphidoidea,True,False,False
aphis,True,True,False
aphriza,True,False,False
aphrodite,True,True,False
aphrophora,True,True,False
aphyllanthaceae,True,False,False
aphyllanthes,True,True,False
aphyllophorales,True,True,False
apia,True,True,False
apiaceae,True,True,False
apidae,True,True,False
apios,True,True,False
apis,True,False,False
apium,True,True,False
aplacophora,True,True,False
aplectrum,True,True,False
aplodontia,True,False,False
aplodontiidae,True,True,False
aplysia,True,True,False
aplysiidae,True,True,False
apocalypse,True,True,True
apocrypha,False,True,False
apocynaceae,True,True,False
apocynum,True,True,False
apodemus,True,True,False
apodidae,True,False,False
apodiformes,True,True,False
apogon,True,True,False
apogonidae,True,True,False
apoidea,True,True,False
apollinaire,True,False,False
apollo,True,True,False
aporocactus,True,True,False
apostle,False,True,True
appalachia,True,True,False
appalachians,True,False,False
appaloosa,False,True,False
appleton,True,False,False
april,False,True,False
apsu,True,False,False
aptenodytes,True,True,False
apterygidae,True,False,False
apterygiformes,True,False,False
apulia,True,True,False
apus,True,True,False
aqaba,True,True,False
aquifoliaceae,True,False,False
aquila,True,False,False
aquinas,True,False,False
aquitaine,True,True,False
aquitania,True,False,False
ara,True,False,False
arabia,True,False,False
arabic,False,True,False
arabidopsis,True,True,False
arabis,True,True,False
arabist,False,True,False
araceae,True,True,False
arachis,True,True,False
arachnida,True,False,False
arafat,True,False,False
aragon,True,True,False
araguaia,True,False,False
araguaya,True,False,False
arales,True,True,False
araliaceae,True,True,False
aram,True,False,False
aramaic,False,True,False
aramus,True,False,False
aranea,True,False,False
araneae,True,False,False
araneida,True,True,False
araneus,True,True,False
aranyaka,True,True,False
arapaho,False,True,False
ararat,True,False,False
aras,True,False,False
arauca,True,False,False
araucariaceae,True,True,False
araujia,True,True,False
arawak,False,True,False
arawn,True,True,False
araxes,True,False,False
arca,True,False,False
arcadia,True,False,False
arcellidae,True,False,False
arceuthobium,True,True,False
archaeornithes,True,True,False
archaeozoic,True,False,False
archean,True,True,False
archeozoic,True,False,False
archiannelida,True,False,False
archidiskidon,True,False,False
archilochus,True,True,False
archimedes,True,True,False
archosargus,True,True,False
archosauria,True,False,False
arcidae,True,False,False
arctic,True,True,True
arctictis,True,False,False
arctiidae,True,False,False
arctium,True,True,False
arctocebus,True,False,False
arctocephalus,True,True,False
arctonyx,True,False,False
arctostaphylos,True,True,False
arctotis,True,True,False
arcturus,True,True,False
ardea,True,False,False
ardeidae,True,False,False
ardennes,True,True,False
ardisia,True,True,False
arecaceae,True,True,False
arecidae,True,True,False
arenaria,True,False,False
arendt,True,False,False
arenga,True,True,False
areopagus,False,True,False
arequipa,True,True,False
ares,True,True,False
argasidae,True,True,False
argentina,True,True,False
argentinidae,True,True,False
argiope,True,False,False
argiopidae,True,False,False
argo,True,True,False
argonaut,True,False,True
argonauta,True,False,False
argonautidae,True,True,False
argonauts,True,False,False
argonne,True,False,False
argos,True,False,False
argun,True,False,False
argusianus,True,False,False
argynnis,True,True,False
argyranthemum,True,True,False
argyreia,True,True,False
argyrol,False,True,False
argyrotaenia,True,True,False
argyroxiphium,True,True,False
arhat,False,True,False
arhus,True,False,False
ariadne,True,True,False
ariana,True,True,False
arianism,False,True,False
arianrhod,True,True,False
arianrod,True,False,False
ariidae,True,True,False
arikara,False,True,False
arilus,True,True,False
ariocarpus,True,True,False
ariomma,True,True,False
arisaema,True,True,False
arisarum,True,True,False
aristarchus,True,False,False
aristolochia,True,True,False
aristolochiaceae,True,True,False
aristolochiales,True,True,False
aristophanes,True,True,False
aristotelia,True,False,False
aristotelianism,False,True,False
aristotle,True,True,False
arius,True,True,False
arizona,True,True,False
arjuna,True,True,False
ark,True,False,True
arkansas,True,True,False
arlington,True,False,False
armadillidiidae,True,True,False
armadillidium,True,True,False
armageddon,True,True,True
armagnac,False,True,False
armenia,True,True,False
armeria,True,True,False
armillaria,True,True,False
armillariella,True,False,False
armin,True,True,False
arminianism,False,True,False
arminius,True,True,False
armoracia,True,True,False
armstrong,True,False,False
army,False,True,True
arnhem,True,True,False
arno,True,True,False
arnold,True,False,False
arnoseris,True,True,False
arouet,True,False,False
arp,True,False,False
arrhenatherum,True,True,False
arrhenius,True,False,False
artamidae,True,True,False
artamus,True,False,False
artaxerxes,True,False,False
artemia,True,False,False
artemis,True,True,False
arthropoda,True,False,False
arthropteris,True,True,False
arthur,True,True,False
artiodactyla,True,False,False
artocarpus,True,True,False
artois,True,True,False
artsakh,True,False,False
aruba,True,True,False
arundinaria,True,True,False
arundo,True,True,False
aruru,True,False,False
arvicola,True,True,False
aryan,False,True,False
asahikawa,True,True,False
asama,True,False,False
asanga,True,True,False
asarum,True,True,False
ascaphidae,True,False,False
ascaphus,True,False,False
ascaridae,True,False,False
ascaridia,True,True,False
ascaris,True,True,False
asch,True,False,False
aschelminthes,True,False,False
ascidiaceae,True,False,False
asclepiadaceae,True,False,False
asclepias,True,True,False
asclepius,True,True,False
ascomycetes,True,False,False
ascomycota,True,True,False
ascomycotina,True,False,False
ascophyllum,True,True,False
asgard,False,True,False
ashe,True,False,False
asheville,True,False,False
ashgabat,True,False,False
ashir,True,True,False
ashkhabad,True,False,False
ashton,True,False,False
ashtoreth,True,False,False
ashur,True,False,False
ashurbanipal,True,True,False
asia,False,True,False
asilidae,True,True,False
asimina,True,True,False
asimov,True,False,False
asin,False,True,False
asio,True,True,False
asklepios,True,False,False
asmara,True,True,False
asmera,True,False,False
aspadana,True,False,False
aspalathus,True,True,False
asparagaceae,True,True,False
aspergillaceae,True,True,False
aspergillales,True,False,False
aspergillus,True,True,False
asperula,True,True,False
asphodelaceae,True,True,False
asphodeline,True,True,False
asphodelus,True,True,False
aspidelaps,True,True,False
aspidiotus,True,True,False
aspidophoroides,True,True,False
aspinwall,True,False,False
aspis,True,True,False
aspleniaceae,True,True,False
asplenium,True,True,False
assam,True,True,False
assault,True,True,True
assouan,True,False,False
assuan,True,False,False
assur,True,True,False
assurbanipal,True,False,False
assyria,True,True,False
assyriology,False,True,False
astacidae,True,True,False
astacura,True,False,False
astacus,True,True,False
astaire,True,False,False
astana,True,True,False
astarte,True,True,False
asteraceae,True,True,False
asteridae,True,True,False
asteroidea,True,False,False
astor,True,False,False
astragalus,True,False,True
astrakhan,True,True,True
astreus,True,False,False
astroloma,True,True,False
astronium,True,True,False
astrophyton,True,True,False
astropogon,True,False,False
asuncion,True,False,False
asur,True,False,False
asura,True,True,False
asurbanipal,True,False,False
aswan,True,True,False
atakapa,False,True,False
ataturk,True,False,False
ate,True,False,False
ateles,True,False,False
aten,True,True,False
athanasius,True,False,False
atharvaveda,True,False,False
athelstan,True,False,False
athena,True,True,False
athene,True,False,False
athens,True,True,False
atherinidae,True,False,False
atherinopsis,True,False,False
atherurus,True,False,False
athinai,True,False,False
athiorhodaceae,True,False,False
athos,True,False,False
athrotaxis,True,True,False
athyriaceae,True,True,False
athyrium,True,True,False
atlanta,True,True,False
atlantic,True,False,False
atlantis,False,True,False
atlas,True,True,True
aton,True,False,False
atreus,True,True,False
atrichornis,True,False,False
atrichornithidae,True,False,False
atriplex,True,True,False
atropa,True,True,False
atropidae,True,False,False
atropos,True,True,False
atsugewi,False,True,False
attalea,True,False,False
attic,False,True,True
attica,True,True,False
atticus,True,False,False
attila,True,True,False
attilio,False,True,False
attlee,True,False,False
auchincloss,True,True,False
auckland,True,True,False
aucuba,True,True,False
auden,True,False,False
audubon,True,True,False
augeas,True,True,False
august,False,True,False
augusta,True,False,False
augustine,True,False,False
augustus,True,True,False
aulacorhyncus,True,False,False
aulostomidae,True,False,False
aulostomus,True,False,False
aum,True,False,False
aurelius,True,False,False
aureolaria,True,True,False
auricularia,True,True,False
auriculariaceae,True,True,False
auriculariales,True,True,False
auriga,True,False,False
auriparus,True,False,False
aurora,True,True,True
auschwitz,True,False,False
aussie,False,True,False
austen,True,False,False
austerlitz,True,False,False
austin,True,False,False
australasia,True,True,False
australia,True,True,False
australopithecus,True,True,False
austria,True,True,False
austrocedrus,True,True,False
austronesia,True,False,False
austrotaxus,True,True,False
automeris,True,True,False
auvergne,True,True,False
avahi,True,False,False
avalokiteshvara,True,False,False
avalokitesvara,True,False,False
avena,True,True,False
averrhoa,True,True,False
averroes,True,True,False
aves,True,False,False
avesta,True,True,False
avestan,False,True,False
avicenna,True,True,False
avicennia,True,True,False
avicenniaceae,True,False,False
avignon,True,True,False
avogadro,True,False,False
avon,True,False,False
ayr,True,True,False
ayrshire,False,True,False
aythya,True,True,False
ayurveda,True,True,False
azadirachta,True,True,False
azaleastrum,True,False,False
azerbaijan,True,True,False
azerbajdzhan,True,False,False
azolla,True,True,False
azollaceae,True,False,False
azores,True,True,False
baal,True,True,False
babar,True,True,False
babel,True,False,True
babesiidae,True,True,False
babylon,True,True,False
babylonia,True,True,False
babyrousa,True,False,False
bacchanalia,False,True,True
baccharis,True,True,False
bacchus,True,False,False
bacillaceae,True,True,False
bacillariophyceae,True,False,False
bacon,True,True,True
bacteroidaceae,True,True,False
bacteroides,True,True,False
badger,False,True,True
badlands,True,True,True
baeda,True,False,False
baedeker,True,True,True
bagdad,True,False,False
baghdad,True,True,False
bahamas,True,False,False
bahrain,True,True,False
bahrein,True,False,False
baikal,True,False,False
bailey,True,False,True
baiomys,True,True,False
bairava,True,False,False
bairdiella,True,True,False
bairiki,True,True,False
bakelite,False,True,False
bakersfield,True,False,False
baku,True,True,False
bakunin,True,False,False
balaena,True,True,False
balaeniceps,True,False,False
balaenicipitidae,True,True,False
balaenidae,True,True,False
balaenoptera,True,True,False
balaenopteridae,True,False,False
balanchine,True,False,False
balanidae,True,True,False
balanus,True,True,False
balarama,True,True,False
balaton,True,False,False
balboa,True,False,True
balder,True,False,False
baldr,True,True,False
bale,True,False,True
balenciaga,True,True,False
balfour,True,False,False
bali,True,True,False
balistes,True,True,False
balistidae,True,False,False
balkans,True,True,False
ball,True,True,True
ballistite,False,True,False
ballota,True,True,False
balsaminaceae,True,True,False
balsamorhiza,True,True,False
balthasar,True,False,False
balthazar,True,False,False
baltimore,True,True,False
balzac,True,False,False
bam,True,False,True
bamako,True,True,False
bambusa,True,True,False
bambuseae,True,True,False
bandung,True,True,False
banff,True,False,False
bangalore,True,True,False
bangiaceae,True,True,False
bangkok,True,True,False
bangladesh,True,True,False
bangor,True,False,False
bangui,True,True,False
banjul,True,True,False
bankhead,True,False,False
bankia,True,True,False
banks,True,False,False
bannister,True,False,True
bannockburn,True,True,False
banting,True,True,True
baphia,True,True,False
baptisia,True,True,False
baptists,False,True,False
baraka,True,False,False
barany,True,False,False
barbados,True,True,False
barbarea,True,True,False
barbarossa,True,False,False
barbary,True,False,False
barber,True,True,True
barbuda,True,True,False
barcelona,True,True,False
bardeen,True,True,False
bari,True,True,False
barish,False,True,False
barkley,True,False,False
barnum,True,False,False
baroque,True,True,True
barranquilla,True,True,False
barrie,True,True,False
barrymore,True,True,False
barstow,True,False,False
bart,False,True,False
barth,True,False,False
barthelme,True,True,False
bartholdi,True,True,False
bartholin,True,False,False
bartlesville,True,False,False
bartlett,True,False,True
bartok,True,False,False
bartramia,True,False,False
baruch,True,False,False
baryshnikov,True,True,False
base,True,False,True
basel,True,True,False
basia,True,True,False
basidiomycetes,True,False,False
basidiomycota,True,True,False
basidiomycotina,True,False,False
basil,True,True,True
basilicata,True,True,False
basiliscus,True,True,False
basle,True,False,False
basra,True,True,False
bassariscidae,True,False,False
bassariscus,True,True,False
basseterre,True,True,False
bassia,True,True,False
bast,True,False,True
bastet,True,False,False
bastille,True,True,True
basutoland,True,True,False
bataan,True,True,False
bath,True,False,True
bathsheba,True,True,False
bathyergidae,True,False,False
bathyergus,True,True,False
batidaceae,True,False,False
batis,True,False,False
batna,True,False,False
batoidei,True,False,False
batrachia,True,True,False
batrachoididae,True,True,False
batrachoseps,True,False,False
baudelaire,True,False,False
bauhaus,False,True,False
bauhinia,True,True,False
baum,True,True,False
bavaria,True,True,False
bayard,True,False,False
bayer,False,True,False
bayes,True,True,False
baykal,True,False,False
bayonne,True,True,False
bayrut,True,False,False
beadle,True,True,True
beantown,True,False,False
beatles,True,False,False
beatrice,True,False,False
beaujolais,False,True,False
beaumont,True,False,False
beaumontia,True,True,False
beauvoir,True,False,False
beaver,False,True,True
beaverbrook,True,False,False
becket,True,True,True
beckett,True,True,False
beckley,True,False,False
becquerel,True,True,False
beda,True,False,False
bede,True,True,False
bedouin,False,True,False
beecher,True,False,False
beelzebub,True,True,False
beerbohm,True,True,False
begin,True,False,False
begoniaceae,True,True,False
behmen,True,False,False
behrens,True,True,False
behring,True,False,False
beijing,True,True,False
beira,True,False,False
beirut,True,True,False
belamcanda,True,False,False
belarus,True,True,False
belau,True,False,False
belem,True,False,False
belemnitidae,True,False,False
belemnoidea,True,True,False
belfast,True,True,False
belgique,True,False,False
belgium,True,True,False
belgrade,True,True,False
belisarius,True,True,False
belize,True,True,False
bell,True,True,True
bellarmine,True,False,True
bellarmino,True,True,False
bellerophon,True,True,False
bellingham,True,False,False
bellini,True,True,False
bellis,True,True,False
belloc,True,True,False
bellow,True,False,True
belmont,True,False,False
belonidae,True,False,False
belorussia,True,False,False
belostomatidae,True,True,False
belsen,True,False,False
belshazzar,True,True,False
bemidji,True,False,False
bemisia,True,True,False
benadryl,False,True,False
benchley,True,True,False
bend,True,False,True
benedict,True,False,True
benelux,False,True,False
benet,True,False,False
bengal,True,True,False
benghazi,True,True,False
benin,True,True,False
benjamin,True,True,True
bennett,True,False,False
bennettitaceae,True,False,False
bennettitales,True,True,False
bennettitis,True,False,False
bennington,True,False,False
benny,True,True,True
bentham,True,False,False
benton,True,False,False
benzoin,True,False,True
beograd,True,False,False
beowulf,True,True,False
berberidaceae,True,True,False
berberis,True,True,False
berbers,False,True,False
berbery,True,False,False
bercy,False,True,False
berg,True,False,True
bergen,True,True,False
bergman,True,True,False
bergson,True,False,False
beria,True,False,False
bering,True,False,False
berkeley,True,False,False
berkshire,True,True,False
berkshires,True,True,False
berlage,True,False,False
berlin,True,True,True
berlioz,True,False,False
bermuda,True,True,False
bermudas,True,False,False
bern,True,True,False
bernard,True,True,False
berne,True,False,False
bernhardt,True,True,False
bernini,True,False,False
bernoulli,True,False,False
bernstein,True,True,False
berra,True,True,False
berry,True,True,True
berteroa,True,True,False
bertholletia,True,False,False
bertillon,True,True,False
bertolucci,True,False,False
berycomorphi,True,False,False
berzelius,True,False,False
bessel,True,False,False
bessemer,True,False,False
bessera,True,True,False
besseya,True,False,False
best,True,False,True
beta,True,True,True
betelgeuse,True,True,False
bethe,True,True,False
bethlehem,True,True,False
bethune,True,False,False
bettongia,True,False,False
betula,True,False,False
